TCB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,008","3,981","3,962","4,402","4,421"
2. Chi phí lãi và các chi phí tương tự,"1,820","1,969","2,047","2,216","2,201"
I. Thu nhập lãi thuần,"2,188","2,012","1,915","2,186","2,220"
3. Thu nhập từ hoạt động dịch vụ,437,420,623,643,705
4. Chi phí hoạt động dịch vụ,133,141,223,122,181
II. Lãi/lỗ thuần từ hoạt động dịch vụ,304,280,400,522,524
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,13,74,79,89,30
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,78,106,50,175,105
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,81,36,110,449,101
5. Thu nhập từ hoạt động khác,297,515,802,271,582
6. Chi phí hoạt động khác,126,209,225,38,51
VI. Lãi/lỗ thuần từ hoạt động khác,172,305,578,233,531
"VII. Thu nhập từ góp vốn, mua cổ phần",0,,,,
VIII. Chi phí hoạt động,927,"1,095","1,282","1,058",994
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,910","1,719","1,849","2,595","2,518"
X. Chi phí dự phòng rủi ro tín dụng,905,442,716,"1,270","1,109"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,005","1,277","1,132","1,325","1,409"
7. Chi phí thuế TNDN hiện hành,213,255,228,265,264
8. Chi phí thuế TNDN hoãn lại,0,,,,20
XII. Chi phí thuế TNDN,213,255,228,265,284
XIII. Lợi nhuận sau thuế (XI-XII),792,"1,022",904,"1,059","1,125"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),792,"1,022",904,"1,059","1,125"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
