TCB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,164","4,608","4,980","4,916","5,678"
2. Chi phí lãi và các chi phí tương tự,"2,109","2,139","2,433","2,413","2,561"
I. Thu nhập lãi thuần,"2,055","2,469","2,547","2,504","3,117"
3. Thu nhập từ hoạt động dịch vụ,747,"2,424",660,870,"1,172"
4. Chi phí hoạt động dịch vụ,193,213,169,180,240
II. Lãi/lỗ thuần từ hoạt động dịch vụ,554,"2,211",492,690,932
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,84,75,45,153,48
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,95,22,11,-12,117
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,300,362,442,301,-39
5. Thu nhập từ hoạt động khác,400,713,370,550,876
6. Chi phí hoạt động khác,97,66,141,186,415
VI. Lãi/lỗ thuần từ hoạt động khác,303,647,229,364,460
"VII. Thu nhập từ góp vốn, mua cổ phần",0,0,894,0,
VIII. Chi phí hoạt động,"1,129","1,518","1,267","1,152","1,315"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,263","4,269","3,393","2,848","3,320"
X. Chi phí dự phòng rủi ro tín dụng,157,"1,073",824,220,743
XI. Tổng lợi nhuận trước thuế (IX-X),"2,106","3,196","2,569","2,628","2,578"
7. Chi phí thuế TNDN hiện hành,399,636,518,527,518
8. Chi phí thuế TNDN hoãn lại,1,5,2,,
XII. Chi phí thuế TNDN,400,641,520,527,518
XIII. Lợi nhuận sau thuế (XI-XII),"1,706","2,555","2,049","2,101","2,060"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,706","2,555","2,049","2,101","2,060"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
