TCB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"8,721","9,120","9,510","10,688","10,563"
2. Chi phí lãi và các chi phí tương tự,"2,137","2,378","2,266","2,577","2,769"
I. Thu nhập lãi thuần,"6,585","6,742","7,245","8,111","7,794"
3. Thu nhập từ hoạt động dịch vụ,"1,935","1,921","2,696","2,397","2,387"
4. Chi phí hoạt động dịch vụ,478,424,593,605,310
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,457","1,497","2,103","1,793","2,077"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,100,93,-28,34,-33
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,62,-16,-29,-96,-153
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,555,306,332,-219,594
5. Thu nhập từ hoạt động khác,"1,070",933,"1,053",973,"1,295"
6. Chi phí hoạt động khác,622,778,521,484,541
VI. Lãi/lỗ thuần từ hoạt động khác,448,156,532,488,754
"VII. Thu nhập từ góp vốn, mua cổ phần",0,0,4,0,2
VIII. Chi phí hoạt động,"2,591","2,628","3,392","3,108","3,297"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"6,615","6,151","6,767","7,004","7,739"
X. Chi phí dự phòng rủi ro tín dụng,598,589,627,218,417
XI. Tổng lợi nhuận trước thuế (IX-X),"6,018","5,562","6,140","6,785","7,321"
7. Chi phí thuế TNDN hiện hành,"1,211","1,130","1,456","1,171","1,441"
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,"1,211","1,130","1,456","1,171","1,441"
XIII. Lợi nhuận sau thuế (XI-XII),"4,807","4,432","4,684","5,615","5,880"
XIV. Lợi ích của cổ đông thiểu số,96,94,92,110,79
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"4,711","4,338","4,592","5,505","5,800"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
