TCB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"11,251","12,250","13,732","13,998","14,533"
2. Chi phí lãi và các chi phí tương tự,"3,686","5,431","7,205","7,703","7,261"
I. Thu nhập lãi thuần,"7,565","6,819","6,527","6,295","7,272"
3. Thu nhập từ hoạt động dịch vụ,"2,709","3,347","2,544","2,622","3,009"
4. Chi phí hoạt động dịch vụ,586,813,600,602,753
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"2,123","2,535","1,944","2,019","2,256"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,28,-304,-229,-11,124
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,18,-11,29,9,-6
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,157,-106,-31,74,635
5. Thu nhập từ hoạt động khác,"1,136","1,107","2,858","1,658",720
6. Chi phí hoạt động khác,695,612,"1,801",719,590
VI. Lãi/lỗ thuần từ hoạt động khác,441,495,"1,057",939,129
"VII. Thu nhập từ góp vốn, mua cổ phần",6,0,3,0,8
VIII. Chi phí hoạt động,"3,014","3,990","3,142","2,869","3,631"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"7,324","5,437","6,158","6,456","6,788"
X. Chi phí dự phòng rủi ro tín dụng,609,691,535,807,945
XI. Tổng lợi nhuận trước thuế (IX-X),"6,715","4,746","5,623","5,649","5,843"
7. Chi phí thuế TNDN hiện hành,"1,344","1,214","1,088","1,147","1,177"
8. Chi phí thuế TNDN hoãn lại,4,-40,-1,-1,-3
XII. Chi phí thuế TNDN,"1,348","1,174","1,086","1,146","1,174"
XIII. Lợi nhuận sau thuế (XI-XII),"5,368","3,572","4,537","4,503","4,669"
XIV. Lợi ích của cổ đông thiểu số,70,28,40,48,56
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"5,298","3,544","4,497","4,455","4,613"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
