TCB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,500","3,237","3,086","3,553","3,768"
2. Chi phí lãi và các chi phí tương tự,"1,638","1,512","1,526","1,491","1,751"
I. Thu nhập lãi thuần,"1,862","1,724","1,560","2,062","2,017"
3. Thu nhập từ hoạt động dịch vụ,341,347,470,527,436
4. Chi phí hoạt động dịch vụ,122,114,133,177,108
II. Lãi/lỗ thuần từ hoạt động dịch vụ,219,232,337,351,328
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-2,12,-89,-114,75
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,62,48,67,127,72
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,159,-83,-37,-192,71
5. Thu nhập từ hoạt động khác,520,673,772,345,700
6. Chi phí hoạt động khác,192,471,510,97,99
VI. Lãi/lỗ thuần từ hoạt động khác,327,202,262,248,601
"VII. Thu nhập từ góp vốn, mua cổ phần",1,8,,2,0
VIII. Chi phí hoạt động,832,799,905,"1,161",982
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,796","1,347","1,195","1,323","2,181"
X. Chi phí dự phòng rủi ro tín dụng,"1,388",723,675,837,"1,599"
XI. Tổng lợi nhuận trước thuế (IX-X),408,624,520,485,582
7. Chi phí thuế TNDN hiện hành,94,133,112,90,107
8. Chi phí thuế TNDN hoãn lại,0,0,4,20,0
XII. Chi phí thuế TNDN,95,133,116,109,107
XIII. Lợi nhuận sau thuế (XI-XII),314,491,404,376,476
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),314,491,404,376,476
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
