TCB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,108","3,175","3,087","3,354","3,316"
2. Chi phí lãi và các chi phí tương tự,"2,001","1,881","1,803","1,749","1,726"
I. Thu nhập lãi thuần,"1,107","1,294","1,284","1,604","1,591"
3. Thu nhập từ hoạt động dịch vụ,311,538,418,332,377
4. Chi phí hoạt động dịch vụ,92,103,203,92,145
II. Lãi/lỗ thuần từ hoạt động dịch vụ,218,435,215,240,232
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,40,21,-22,7,17
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-6,40,-25,58,24
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-36,30,39,72,-63
5. Thu nhập từ hoạt động khác,183,139,213,260,374
6. Chi phí hoạt động khác,147,418,160,168,231
VI. Lãi/lỗ thuần từ hoạt động khác,36,-279,53,92,142
"VII. Thu nhập từ góp vốn, mua cổ phần",0,1,1,3,
VIII. Chi phí hoạt động,800,790,776,766,"1,099"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),560,752,769,"1,311",844
X. Chi phí dự phòng rủi ro tín dụng,431,79,493,"1,096",590
XI. Tổng lợi nhuận trước thuế (IX-X),128,673,276,214,254
7. Chi phí thuế TNDN hiện hành,32,147,54,48,75
8. Chi phí thuế TNDN hoãn lại,,1,7,4,-1
XII. Chi phí thuế TNDN,32,148,61,52,74
XIII. Lợi nhuận sau thuế (XI-XII),96,525,215,162,180
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),96,525,215,162,180
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
