TCB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","4,151","4,106","4,205","3,664","4,273"
II. Tiền gửi tại NHNN,"5,284","8,845","9,729","10,253","1,764"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","30,990","45,285","26,597","28,995","38,361"
"1. Tiền, vàng gửi tại các TCTD khác","26,564","36,014","22,303","21,113","22,454"
2. Cho vay các TCTD khác,"4,426","9,271","4,294","7,882","15,907"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"10,437","9,340","10,055","8,348","5,509"
1. Chứng khoán kinh doanh,"10,446","9,365","10,063","8,357","5,522"
2. Dự phòng giảm giá chứng khoán kinh doanh,-9,-24,-8,-10,-13
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,
VI. Cho vay khách hàng,"229,038","229,385","228,668","275,310","293,799"
1. Cho vay và cho thuê tài chính khách hàng,"232,021","231,666","230,716","277,525","296,290"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,983","-2,280","-2,048","-2,214","-2,491"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,2,2,2,2,2
2. Dự phòng rủi ro hoạt động mua nợ,-2,-2,-2,-2,-2
VII. Chứng khoán đầu tư,"85,390","69,556","94,911","84,447","85,926"
1. Chứng khoán đầu tư sẵn sàng để bán,"85,177","69,179","95,199","84,633","86,274"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,700,700,200,200,200
3. Dự phòng giảm giá chứng khoán đầu tư,-488,-323,-488,-386,-548
"VIII. Góp vốn, đầu tư dài hạn",12,12,12,12,12
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
