TCB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,554","3,303","3,579","3,277","3,204"
II. Tiền gửi tại NHNN,"4,405","3,395","4,909","8,999","4,814"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","52,085","77,628","70,584","72,530","72,131"
"1. Tiền, vàng gửi tại các TCTD khác","31,310","51,058","39,520","58,126","57,270"
2. Cho vay các TCTD khác,"20,775","26,570","31,065","14,405","14,962"
3. Dự phòng rủi ro cho vay các TCTD khác,0,-101,,,
IV. Chứng khoán kinh doanh,"7,579","6,081","5,071","3,699",832
1. Chứng khoán kinh doanh,"7,594","6,117","5,074","3,758",891
2. Dự phòng giảm giá chứng khoán kinh doanh,-15,-36,-4,-59,-59
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,52,25,294,339,61
VI. Cho vay khách hàng,"310,618","317,669","343,606","361,815","387,775"
1. Cho vay và cho thuê tài chính khách hàng,"313,514","321,042","347,341","365,743","391,824"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,896","-3,373","-3,736","-3,927","-4,049"
VII. Hoạt động mua nợ,144,144,133,131,121
1. Mua nợ,147,147,136,134,123
2. Dự phòng rủi ro hoạt động mua nợ,-3,-3,-3,-3,-3
VII. Chứng khoán đầu tư,"87,968","93,254","97,586","120,301","97,228"
1. Chứng khoán đầu tư sẵn sàng để bán,"88,243","93,660","98,092","121,310","98,036"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,200,200,200,200,
3. Dự phòng giảm giá chứng khoán đầu tư,-475,-607,-706,"-1,208",-808
"VIII. Góp vốn, đầu tư dài hạn",13,13,13,13,13
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,,,
3. Đầu tư dài hạn khác,14,14,14,14,14
4. Dự phòng giảm giá đầu tư dài hạn,-1,-1,-1,-1,-1
IX. Tài sản cố định,"6,739","7,106","7,224","7,265","7,220"
1. Tài sản cố định hữu hình,"3,278","3,540","3,629","3,614","3,606"
a. Nguyên giá TSCĐ,"4,299","4,598","4,824","4,820","4,913"
b. Hao mòn TSCĐ,"-1,021","-1,058","-1,195","-1,206","-1,308"
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,"3,461","3,566","3,596","3,651","3,615"
a. Nguyên giá TSCĐ,"4,307","4,455","4,542","4,648","4,662"
b. Hao mòn TSCĐ,-846,-889,-946,-997,"-1,048"
X. Bất động sản đầu tư,"1,107","1,098","1,089","1,080","1,071"
a. Nguyên giá BĐSĐT,"1,436","1,436","1,436","1,436","1,436"
b. Hao mòn BĐSĐT,-329,-338,-347,-356,-365
"XI. Tài sản ""Có"" khác","30,042","31,920","34,724","35,820","49,275"
1. Các khoản phải thu,"23,490","24,883","28,148","26,069","40,327"
"2. Các khoản lãi, phí phải thu","5,737","6,224","5,808","7,253","8,079"
3. Tài sản thuế TNDN hoãn lại,0,17,17,,
4. Tài sản Có khác,"1,347","1,373","1,449","3,084","1,546"
- Trong đó: Lợi thế thương mại,0,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-531,-560,-680,-603,-694
