VIC,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,283","2,839",984,"2,148","8,470"
2. Các khoản giảm trừ doanh thu,0,3,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,282","2,836",984,"2,147","8,470"
4. Giá vốn hàng bán,781,"1,774",459,"1,187","5,133"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,502,"1,063",525,960,"3,337"
6.Doanh thu hoạt động tài chính,236,175,722,"5,106",231
7. Chi phí tài chính,331,322,517,541,364
Trong đó :Chi phí lãi vay,291,285,426,375,226
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,39,74,46,77,151
10. Chi phí quản lý doanh nghiệp,216,321,286,419,247
11. Lợi nhuận thuần từ hoạt động kinh doanh,152,520,397,"5,029","2,806"
12. Thu nhập khác,36,46,23,41,43
13. Chi phí khác,-21,19,2,16,39
14. Lợi nhuận khác,57,28,21,26,3
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,9,10,16,29,13
15. Tổng lợi nhuận kế toán trước thuế,219,558,433,"5,084","2,822"
16. Chi phí thuế TNDN hiện hành,102,210,169,"1,311",809
17. Chi phí thuế TNDN hoãn lại,-4,-25,-1,-1,1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,121,373,265,"3,775","2,012"
Lợi ích của cổ đông thiểu số,25,154,-22,3,137
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,95,219,287,"3,772","1,875"
19. Lãi cơ bản trên cổ phiếu (*),148,254,328,"4,306","2,164"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
