VIC,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,104,183,310,"3,276",474
2. Các khoản giảm trừ doanh thu,0,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,104,183,310,"3,276",474
4. Giá vốn hàng bán,27,56,81,763,154
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,77,127,228,"2,513",320
6.Doanh thu hoạt động tài chính,178,304,73,725,203
7. Chi phí tài chính,151,260,138,438,296
Trong đó :Chi phí lãi vay,0,147,121,107,0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,7,2,7,13,18
10. Chi phí quản lý doanh nghiệp,38,42,69,90,46
11. Lợi nhuận thuần từ hoạt động kinh doanh,59,129,87,"2,696",163
12. Thu nhập khác,64,5,5,105,39
13. Chi phí khác,59,6,3,3,62
14. Lợi nhuận khác,6,-1,1,102,-23
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,-8,-10,-18,102,37
15. Tổng lợi nhuận kế toán trước thuế,56,117,69,"2,900",176
16. Chi phí thuế TNDN hiện hành,18,10,55,618,47
17. Chi phí thuế TNDN hoãn lại,0,23,0,-13,-1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,38,84,15,"2,295",130
Lợi ích của cổ đông thiểu số,5,-21,-36,178,34
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,33,105,51,"2,117",97
19. Lãi cơ bản trên cổ phiếu (*),185,315,146,"6,274",397
20. Lãi suy giảm trên cổ phiếu (*),,,,,
