VIC,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Công ty mẹ,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,46,47,63,65,77
2. Các khoản giảm trừ doanh thu,0,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,46,47,63,65,77
4. Giá vốn hàng bán,14,14,15,16,15
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,32,33,48,48,61
6.Doanh thu hoạt động tài chính,82,151,44,117,77
7. Chi phí tài chính,0,20,28,107,64
Trong đó :Chi phí lãi vay,0,0,0,9,64
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,3,5,3,7,6
10. Chi phí quản lý doanh nghiệp,8,9,18,18,23
11. Lợi nhuận thuần từ hoạt động kinh doanh,104,150,44,33,46
12. Thu nhập khác,0,3,2,19,3
13. Chi phí khác,0,0,1,5,3
14. Lợi nhuận khác,0,3,1,14,0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,0,0,0,,
15. Tổng lợi nhuận kế toán trước thuế,104,153,45,46,46
16. Chi phí thuế TNDN hiện hành,15,22,7,8,7
17. Chi phí thuế TNDN hoãn lại,0,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,90,131,38,39,39
Lợi ích của cổ đông thiểu số,0,0,0,-1,1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,90,131,38,40,37
19. Lãi cơ bản trên cổ phiếu (*),0,0,0,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
