VIC,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,74,61,63,70,"1,767"
2. Các khoản giảm trừ doanh thu,0,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,74,61,63,70,"1,767"
4. Giá vốn hàng bán,14,13,15,22,564
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,60,48,47,48,"1,203"
6.Doanh thu hoạt động tài chính,88,67,108,145,123
7. Chi phí tài chính,62,65,54,41,400
Trong đó :Chi phí lãi vay,62,0,0,0,0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,12,2,2,2,5
10. Chi phí quản lý doanh nghiệp,59,32,25,27,29
11. Lợi nhuận thuần từ hoạt động kinh doanh,15,16,74,122,891
12. Thu nhập khác,1,0,2,1,2
13. Chi phí khác,0,0,2,2,-1
14. Lợi nhuận khác,1,0,0,0,3
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,0,0,5,4,3
15. Tổng lợi nhuận kế toán trước thuế,16,16,79,126,897
16. Chi phí thuế TNDN hiện hành,10,6,15,30,208
17. Chi phí thuế TNDN hoãn lại,0,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,6,10,64,96,689
Lợi ích của cổ đông thiểu số,0,-1,9,0,72
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,6,12,55,96,617
19. Lãi cơ bản trên cổ phiếu (*),0,0,504,574,"3,643"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
