VIC,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,EY,,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"100,625","100,529","96,804","102,333","128,742"
I. Tiền và các khoản tương đương tiền,"6,947","8,611","7,548","13,441","15,942"
1. Tiền,"3,777","6,709","5,343","5,920","6,121"
2. Các khoản tương đương tiền,"3,170","1,902","2,205","7,521","9,821"
II.  Đầu tư tài chính ngắn hạn,301,203,"1,184","1,390","1,446"
1. Chứng khoán kinh doanh,32,32,32,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-19,-20,-19,,
3. Đầu tư nắm giữ đến ngày đáo hạn,287,190,"1,171","1,390","1,446"
III. Các khoản phải thu ngắn hạn,"27,652","28,978","28,041","32,511","55,351"
1. Phải thu ngắn hạn của khách hàng,"7,792","5,079","6,412","6,037","6,937"
2. Trả trước cho người bán ngắn hạn,"9,333","10,439","12,811","17,437","24,120"
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,"7,025","7,728","5,729","5,597","4,527"
6. Phải thu ngắn hạn khác,"3,657","5,925","3,372","3,630","19,921"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-154,-193,-282,-191,-154
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"52,179","48,615","49,945","43,454","45,117"
1. Hàng tồn kho,"52,333","48,879","50,311","43,823","45,466"
2. Dự phòng giảm giá hàng tồn kho (*),-154,-264,-366,-369,-349
V. Tài sản ngắn hạn khác,"13,545","14,122","10,086","11,538","10,886"
1. Chi phí trả trước ngắn hạn,"4,553","4,911","4,206","4,190","4,502"
2. Thuế GTGT được khấu trừ,"1,031","1,071","1,677","2,582","2,230"
3. Thuế và các khoản khác phải thu của nhà nước,50,116,196,138,45
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,"7,912","8,024","4,006","4,629","4,109"
B. TÀI SẢN DÀI HẠN,"104,313","114,326","126,833","139,842","139,488"
I. Các khoản phải thu dài hạn,776,478,380,310,420
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,364,9,82,3,58
6. Phải thu dài hạn khác,411,469,299,306,361
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,"29,933","35,647","37,151","40,070","42,870"
1. Tài sản cố định hữu hình,"29,256","34,912","36,453","39,357","42,115"
