VIC,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,386,267,"1,187","1,883","1,904"
2. Các khoản giảm trừ doanh thu,0,0,0,0,1
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,386,267,"1,187","1,883","1,903"
4. Giá vốn hàng bán,152,123,878,434,"1,104"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,234,144,309,"1,449",799
6.Doanh thu hoạt động tài chính,384,474,627,171,596
7. Chi phí tài chính,137,210,262,342,246
Trong đó :Chi phí lãi vay,0,191,227,311,210
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,34,23,25,45,47
10. Chi phí quản lý doanh nghiệp,47,73,215,200,244
11. Lợi nhuận thuần từ hoạt động kinh doanh,401,312,434,"1,033",858
12. Thu nhập khác,38,17,37,10,27
13. Chi phí khác,42,12,51,46,2
14. Lợi nhuận khác,-4,6,-14,-36,25
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,38,132,-10,-4,2
15. Tổng lợi nhuận kế toán trước thuế,435,449,410,993,885
16. Chi phí thuế TNDN hiện hành,94,94,151,321,208
17. Chi phí thuế TNDN hoãn lại,10,5,-2,-4,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,331,351,261,676,677
Lợi ích của cổ đông thiểu số,79,125,15,-37,133
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,253,226,246,712,544
19. Lãi cơ bản trên cổ phiếu (*),688,610,669,"1,469",851
20. Lãi suy giảm trên cổ phiếu (*),,,,,
