VIC,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"6,777","6,176","7,694","7,665","6,217"
2. Các khoản giảm trừ doanh thu,0,1,2,7,4
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"6,777","6,175","7,692","7,658","6,213"
4. Giá vốn hàng bán,"4,629","3,765","4,796","4,829","3,894"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,148","2,410","2,895","2,829","2,319"
6.Doanh thu hoạt động tài chính,387,248,470,422,224
7. Chi phí tài chính,548,565,"1,174",953,797
Trong đó :Chi phí lãi vay,479,512,740,801,658
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,138,126,123,103,371
10. Chi phí quản lý doanh nghiệp,494,438,422,572,769
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,355","1,528","1,646","1,624",605
12. Thu nhập khác,46,39,38,29,154
13. Chi phí khác,16,22,-2,68,140
14. Lợi nhuận khác,30,17,39,-39,14
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,-3,2,-22,11,1
15. Tổng lợi nhuận kế toán trước thuế,"1,381","1,547","1,663","1,596",620
16. Chi phí thuế TNDN hiện hành,311,478,517,384,271
17. Chi phí thuế TNDN hoãn lại,-3,1,-2,-16,5
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,074","1,068","1,149","1,229",344
Lợi ích của cổ đông thiểu số,251,-7,290,339,-11
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,822,"1,076",859,889,355
19. Lãi cơ bản trên cổ phiếu (*),958,"1,285","1,014",699,275
20. Lãi suy giảm trên cổ phiếu (*),,,,,
