VIC,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"165,296","180,400","163,351","169,507","242,652"
I. Tiền và các khoản tương đương tiền,"24,510","21,263","19,653","15,242","42,230"
1. Tiền,"17,250","10,101","10,308","6,312","9,358"
2. Các khoản tương đương tiền,"7,260","11,162","9,345","8,930","32,872"
II.  Đầu tư tài chính ngắn hạn,"9,119","7,602","6,758","3,649","6,097"
1. Chứng khoán kinh doanh,558,"3,626","3,605",315,"3,853"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"8,561","3,976","3,153","3,334","2,243"
III. Các khoản phải thu ngắn hạn,"63,504","83,793","74,343","83,586","100,299"
1. Phải thu ngắn hạn của khách hàng,"21,505","21,265","20,112","20,959","21,087"
2. Trả trước cho người bán ngắn hạn,"17,792","20,029","21,767","30,163","37,965"
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,"12,883","14,584","14,824","13,892","14,387"
6. Phải thu ngắn hạn khác,"11,671","28,310","18,180","19,156","27,649"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-347,-395,-541,-584,-789
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"56,537","55,382","50,910","52,375","68,660"
1. Hàng tồn kho,"58,534","57,978","53,074","54,515","72,967"
2. Dự phòng giảm giá hàng tồn kho (*),"-1,996","-2,596","-2,164","-2,140","-4,307"
V. Tài sản ngắn hạn khác,"11,626","12,361","11,686","14,655","25,367"
1. Chi phí trả trước ngắn hạn,"1,974","1,802","1,455","1,356","3,489"
2. Thuế GTGT được khấu trừ,"5,456","6,207","6,774","6,835","7,583"
3. Thuế và các khoản khác phải thu của nhà nước,907,681,561,583,525
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,"3,288","3,672","2,896","5,882","13,769"
B. TÀI SẢN DÀI HẠN,"252,585","253,202","263,973","271,860","265,956"
I. Các khoản phải thu dài hạn,"2,938","1,070",599,"1,395","7,287"
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,"4,098",,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,"2,581",713,455,840,1
6. Phải thu dài hạn khác,358,357,144,555,"3,188"
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,"126,689","123,391","130,455","127,068","111,514"
1. Tài sản cố định hữu hình,"105,067","103,059","106,782","104,542","96,488"
- Nguyên giá,"128,572","127,845","134,051","134,001","121,683"
- Giá trị hao mòn lũy kế (*),"-23,505","-24,785","-27,269","-29,460","-25,195"
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,
3. Tài sản cố định vô hình,"21,621","20,331","23,673","22,526","15,026"
- Nguyên giá,"25,723","25,878","30,284","30,661","24,805"
- Giá trị hao mòn lũy kế (*),"-4,102","-5,546","-6,611","-8,135","-9,779"
III. Bất động sản đầu tư,"34,625","34,585","35,128","38,162","39,400"
- Nguyên giá,"41,753","42,257","43,420","47,006","48,734"
