VIC,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
1. Vốn góp của chủ sở hữu,800,800,"1,200","1,200","1,200"
- Cổ phiếu phổ thông có quyền biểu quyết,"1,200","1,200",,,
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,773,773,773,773,773
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,0,0,0,,
5. Cổ phiếu quỹ (*),0,0,0,-521,-655
6. Chênh lệch đánh giá lại tài sản,0,0,0,,
7. Chênh lệch tỷ giá hối đoái,0,0,0,,
8. Quỹ đầu tư phát triển,0,0,0,0,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,,
10. Quỹ khác thuộc vốn chủ sở hữu,0,0,0,,
11. Lợi nhuận sau thuế chưa phân phối,156,287,308,348,387
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,
- LNST chưa phân phối kỳ này,,,,,
12. Nguồn vốn đầu tư XDCB,0,0,0,,
13. Lợi ích cổ đông không kiểm soát,,,,,
14. Quỹ dự phòng tài chính,0,0,0,0,
II. Nguồn kinh phí và quỹ khác,0,0,0,0,
1. Nguồn kinh phí,0,0,0,0,
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,0,0,168,115,125
TỔNG CỘNG NGUỒN VỐN,"1,868","3,090","3,814","5,357","5,535"
