LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"5,252","4,016","4,264","3,636","4,475"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,"6,326","4,174","3,460","4,176","4,656"
Các khoản dự phòng,-729,-880,"2,467",170,"1,601"
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","1,878","-1,210",-331,491,"2,508"
"Lãi, lỗ từ hoạt động đầu tư","-9,759",-519,"-9,160","-3,744",-389
Chi phí lãi vay,"3,037","2,846","3,331","-3,331","12,030"
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,"6,526","-6,526"
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"6,005","8,427","4,030","7,923","18,356"
"Tăng, giảm các khoản phải thu","-16,349","-7,547","-7,146","-8,152","-13,895"
"Tăng, giảm hàng tồn kho","-5,426","-10,042","-6,831","8,203",144
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",937,"10,887","2,254","-9,414","8,322"
"Tăng, giảm chi phí trả trước",-822,-17,914,-281,-520
"Tăng, giảm chứng khoán kinh doanh","1,860","-2,353",-200,"2,201",-246
Tiền lãi vay đã trả,"-2,536","-2,930","-2,972","-3,134","-3,776"
Thuế thu nhập doanh nghiệp đã nộp,208,-331,-42,"-1,204","-4,015"
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-16,123","-3,906","-9,992","-3,859","4,371"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-24,119","-12,023","-14,720","-12,295","-15,067"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",163,215,23,210,47
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-363,"-1,467","-1,210","-4,871","-3,509"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",915,"7,141","1,064","4,803","1,720"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-192,"-3,211",-884,"-1,682","-13,077"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"10,369","15,374","6,113","12,428","10,539"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",421,"2,399",11,"1,023",256
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-12,805","8,429","-9,603",-385,"-19,090"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",37,"4,680",102,"1,143","8,351"
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"18,767","21,627","16,491","32,223","22,653"
4. Tiền trả nợ gốc vay,"-5,598","-30,310","-5,761","-28,068","-17,905"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-23,-658,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"13,183","-4,660","10,831","5,297","13,099"
Lưu chuyển tiền thuần trong kỳ,"-15,746",-137,"-8,764","1,054","-1,621"
Tiền và tương đương tiền đầu kỳ,"42,209","26,450","26,213","17,450","18,446"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-13,-99,,-57,57
Tiền và tương đương tiền cuối kỳ,"26,450","26,213","17,450","18,446","16,882"
