LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,401","1,547","1,663","1,596",603
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,-287,209,519,-75,930
Các khoản dự phòng,19,-1,-4,14,86
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-24,,146,-63,70
"Lãi, lỗ từ hoạt động đầu tư",-138,,-369,536,"-1,500"
Chi phí lãi vay,432,512,740,801,658
"Lãi, lỗ từ thanh lý TSCĐ",5,1,-1,-2,2
Thu nhập lãi vay và cổ tức,-275,-247,247,-852,852
Phân bổ lợi thế thương mại,589,135,-135,445,-445
Điều chỉnh cho các khoản khác,3,-2,2,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,726","2,156","2,809","2,398","1,257"
"Tăng, giảm các khoản phải thu",-676,101,"-1,564",-129,"1,355"
"Tăng, giảm hàng tồn kho","-1,971","2,200","3,818","2,806",-995
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","5,346","-3,462",-361,"-3,879","7,267"
"Tăng, giảm chi phí trả trước",395,86,70,-80,-850
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-797,-537,"-1,039",-568,"-1,047"
Thuế thu nhập doanh nghiệp đã nộp,-207,-384,-946,-446,-135
Tiền thu khác từ hoạt động kinh doanh,1,,,,
Tiền chi khác cho hoạt động kinh doanh,1,-2,2,-3,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"3,816",157,"2,789",99,"6,851"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-2,028",-807,"-5,887",-723,"-4,662"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",-205,16,-9,18,"1,209"
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-2,043",-16,"-1,432","1,408","-4,354"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",178,33,406,-109,"3,614"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,"1,827",-400,"-5,640","6,040","-12,714"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"-9,698",,"1,593","-1,593","2,592"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",215,61,369,196,391
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,"-1,530",-764,764,"-1,044","1,044"
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,"-3,117",-712,712,,
10. Tiền thu khác từ hoạt động đầu tư,"10,458","1,067","-1,067","1,870","-1,870"
11. Tiền chi khác cho hoạt động đầu tư,"-4,667","-1,340","1,340","-8,916","8,916"
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-10,609","-2,862","-8,850","-2,852","-5,835"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",427,"4,500","-4,500","12,589","-8,229"
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",-5,,"2,003",-523,"-1,480"
3. Tiền thu từ đi vay,"16,615",,"7,612","-7,612","17,265"
4. Tiền trả nợ gốc vay,"-2,544","-1,195",-344,"-4,015","-3,128"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-41,,-123,"-2,139",-105
7. Tiền thu khác từ hoạt động tài chính,"-6,394",,,"2,941","-2,941"
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"8,057","3,305","4,648","1,241","1,382"
Lưu chuyển tiền thuần trong kỳ,"1,264",600,"-1,413","-1,512","2,398"
Tiền và tương đương tiền đầu kỳ,"6,270","7,534","8,134","6,721","5,209"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"7,534","8,134","6,721","5,209","7,608"
