LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,859",533,"1,236","1,244","1,898"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,814,783,"-2,409","1,103",898
Các khoản dự phòng,80,1,-58,-160,176
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",5,20,132,2,34
"Lãi, lỗ từ hoạt động đầu tư","-2,531",-333,"-1,890",-364,-139
Chi phí lãi vay,760,745,"2,027","1,506",138
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,"3,356",,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,986,"1,748","2,394","3,330","3,005"
"Tăng, giảm các khoản phải thu","1,184","-1,034","1,328",135,"-2,670"
"Tăng, giảm hàng tồn kho","-5,702","-3,616","-6,630","-6,828","4,664"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","6,508","8,650","5,315","5,327","6,133"
"Tăng, giảm chi phí trả trước","-1,550","-1,270",65,"-1,143",-184
"Tăng, giảm chứng khoán kinh doanh",630,,,,
Tiền lãi vay đã trả,"-1,072",-458,"-1,488",-709,"-1,051"
Thuế thu nhập doanh nghiệp đã nộp,-242,-200,"-1,061","-1,300",-641
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,742,"3,820",-77,"-1,188","9,254"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-4,973","-1,404","-5,484","-2,345","-6,307"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",-26,11,49,70,20
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",673,"-1,657",-987,"-1,473","-5,213"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4,734","2,563","13,659","1,030","1,332"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,"-6,481","-11,247",209,-986,"-5,568"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"6,972","6,946",616,"4,062","2,438"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",226,59,511,51,698
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"1,125","-4,727","8,574",408,"-12,600"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",510,87,267,,6
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"1,162","6,973","6,733","6,048","4,105"
4. Tiền trả nợ gốc vay,"-3,354",-815,"-14,737","-1,093","-4,858"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",5,-560,-580,-309,-76
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-1,676","5,685","-8,317","4,646",-823
Lưu chuyển tiền thuần trong kỳ,191,"4,778",180,"3,866","-4,168"
Tiền và tương đương tiền đầu kỳ,"4,681","4,872","9,653","9,833","13,700"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,4,,,
Tiền và tương đương tiền cuối kỳ,"4,872","9,653","9,833","13,700","9,531"
