LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,435,449,411,993,885
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,32,65,71,108,116
Các khoản dự phòng,25,-8,-5,-3,-3
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-35,-6,18,,5
"Lãi, lỗ từ hoạt động đầu tư",-650,-82,"-1,148",-80,-487
Chi phí lãi vay,341,-346,768,311,210
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,147,72,115,"1,329",727
"Tăng, giảm các khoản phải thu",470,299,158,-142,824
"Tăng, giảm hàng tồn kho","-1,940","-2,696",781,-900,-855
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","4,078","6,789","-2,886","3,325","-2,472"
"Tăng, giảm chi phí trả trước",-309,-886,874,-178,-9
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-642,-302,-170,-474,-953
Thuế thu nhập doanh nghiệp đã nộp,-317,-95,-180,-108,-504
Tiền thu khác từ hoạt động kinh doanh,,,,,10
Tiền chi khác cho hoạt động kinh doanh,-53,27,-18,5,-5
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,434","3,208","-1,327","2,857","-3,238"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",98,"-2,015","1,777",-579,-719
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",-198,108,42,"1,176",-230
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",130,52,"-1,734",,"-1,150"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",270,652,748,698,712
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-316,,"-3,198",-67,"-4,261"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,-215,786,"1,775","-3,661","6,409"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",156,477,211,329,394
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,"1,176","-1,176",,
10. Tiền thu khác từ hoạt động đầu tư,,,,22,
11. Tiền chi khác cho hoạt động đầu tư,-266,"-1,881","2,217",,
Lưu chuyển tiền thuần từ hoạt động đầu tư,-341,-645,662,"-2,082","1,154"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",-337,-161,274,"1,106","-1,101"
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,200,331
3. Tiền thu từ đi vay,,"1,350","1,518",,"7,084"
4. Tiền trả nợ gốc vay,"-1,738",-572,-598,"-2,306","-1,663"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,"-2,146",,,-71
7. Tiền thu khác từ hoạt động tài chính,525,-334,-191,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-1,550","-1,862","1,003","-1,000","4,581"
Lưu chuyển tiền thuần trong kỳ,-457,701,339,-225,"2,497"
Tiền và tương đương tiền đầu kỳ,649,192,893,"1,232","1,007"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,192,893,"1,232","1,007","3,504"
