HDB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,810","2,891","3,103","3,128","3,105"
II. Tiền gửi tại NHNN,"41,482","22,525","22,237","29,411","26,680"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","96,515","87,660","83,923","98,656","101,600"
"1. Tiền, vàng gửi tại các TCTD khác","88,120","79,330","76,457","93,379","94,226"
2. Cho vay các TCTD khác,"8,395","8,330","7,466","5,277","7,374"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"18,581","12,929","8,607","15,275","21,956"
1. Chứng khoán kinh doanh,"18,581","12,929","8,607","15,275","21,956"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,110,125,381,,
VI. Cho vay khách hàng,"339,350","358,835","381,420","393,740","436,606"
1. Cho vay và cho thuê tài chính khách hàng,"343,404","363,449","386,187","398,724","442,485"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-4,054","-4,614","-4,767","-4,985","-5,879"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"44,092","55,248","60,762","34,611","48,751"
1. Chứng khoán đầu tư sẵn sàng để bán,"31,872","33,369","38,312","28,087","31,408"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"12,305","21,992","22,571","6,668","17,437"
3. Dự phòng giảm giá chứng khoán đầu tư,-84,-112,-121,-144,-93
"VIII. Góp vốn, đầu tư dài hạn",144,144,789,811,858
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,658,680,726
3. Đầu tư dài hạn khác,164,164,150,150,147
4. Dự phòng giảm giá đầu tư dài hạn,-20,-20,-18,-18,-15
IX. Tài sản cố định,"1,423","1,493","1,543","1,669","1,766"
1. Tài sản cố định hữu hình,713,729,785,812,887
a. Nguyên giá TSCĐ,"1,703","1,750","1,817","1,880","1,984"
