HDB,Q2/2008,Q3/2011,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/04-30/06,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",166,"2,582",496,500,392
II. Tiền gửi tại NHNN,84,769,856,"1,364","1,231"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1,119","10,959","5,947","5,309","8,860"
"1. Tiền, vàng gửi tại các TCTD khác","1,119","10,959","2,135","1,889","3,387"
2. Cho vay các TCTD khác,,0,"3,812","3,420","5,473"
3. Dự phòng rủi ro cho vay các TCTD khác,,0,,,
IV. Chứng khoán kinh doanh,0,0,207,,400
1. Chứng khoán kinh doanh,0,0,207,,400
2. Dự phòng giảm giá chứng khoán kinh doanh,,0,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,0,4,,0
VI. Cho vay khách hàng,"6,481","13,341","22,638","22,352","25,164"
1. Cho vay và cho thuê tài chính khách hàng,"6,530","13,469","22,879","22,631","25,459"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-49,-128,-241,-279,-295
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,611,"10,544","14,936","13,546","13,056"
1. Chứng khoán đầu tư sẵn sàng để bán,172,"8,641","13,376","11,928","11,442"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,444,"1,994","1,682","1,744","1,741"
3. Dự phòng giảm giá chứng khoán đầu tư,-5,-91,-122,-126,-126
"VIII. Góp vốn, đầu tư dài hạn",257,190,58,58,56
1. Đầu tư vào công ty con,,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,0,,,
3. Đầu tư dài hạn khác,257,190,61,61,59
4. Dự phòng giảm giá đầu tư dài hạn,,0,-4,-4,-4
IX. Tài sản cố định,81,285,308,281,284
1. Tài sản cố định hữu hình,67,221,246,222,220
a. Nguyên giá TSCĐ,81,288,377,344,356
b. Hao mòn TSCĐ,-14,-67,-132,-122,-136
2. Tài sản cố định thuê tài chính,,0,,,
a. Nguyên giá TSCĐ,,0,,,
b. Hao mòn TSCĐ,,0,,,
3. Tài sản cố định vô hình,13,64,62,59,64
a. Nguyên giá TSCĐ,14,79,88,88,96
b. Hao mòn TSCĐ,0,-15,-26,-29,-32
X. Bất động sản đầu tư,,0,,,
a. Nguyên giá BĐSĐT,,0,,,
b. Hao mòn BĐSĐT,,0,,,
"XI. Tài sản ""Có"" khác",740,"5,018","15,285","15,206","11,407"
1. Các khoản phải thu,593,"3,860","12,548","12,562","9,242"
"2. Các khoản lãi, phí phải thu",136,809,"1,601","1,535","1,640"
3. Tài sản thuế TNDN hoãn lại,,0,,,
4. Tài sản Có khác,12,349,"1,143","1,115",532
- Trong đó: Lợi thế thương mại,,0,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,0,-7,-7,-7
TỔNG CỘNG TÀI SẢN,"9,538","43,688","60,735","58,616","60,851"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,572,"2,045",152,131,125
II. Tiền gửi và vay các TCTD khác,"3,060","6,464","6,383","7,495","10,147"
1. Tiền gửi của các TCTD khác,"3,060","6,464","1,533","1,733","3,302"
2. Vay các TCTD khác,,0,"4,850","5,762","6,845"
III. Tiền gửi của khách hàng,"3,856","22,789","44,788","42,827","43,272"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,4,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",10,0,,,
VI. Phát hành giấy tờ có giá,797,"7,052","2,800","1,953","1,079"
VII. Các khoản nợ khác,144,"1,868","1,164","1,007",991
"1. Các khoản lãi, phí phải trả",119,563,660,783,617
2. Thuế TNDN hoãn lại phải trả,,0,0,0,0
3. Các khoản phải trả và công nợ khác,23,"1,295",496,217,363
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),2,9,9,7,11
TỔNG NỢ PHẢI TRẢ,"8,439","40,222","55,288","53,413","55,614"
VIII. Vốn và các quỹ,"1,099","3,466","5,447","5,203","5,236"
1. Vốn của TCTD,"1,000","3,004","5,004","5,004","5,004"
a. Vốn điều lệ,"1,000","3,000","5,000","5,000","5,000"
b. Vốn đầu tư XDCB,,0,,,
c. Thặng dư vốn cổ phần,,4,4,4,4
d. Cổ phiếu quỹ,,0,,,
e. Cổ phiếu ưu đãi,,0,,,
g. Vốn khác,,0,,,
2. Quỹ của TCTD,62,102,52,105,101
3. Chênh lệch tỷ giá hối đoái,3,-23,-2,-40,-9
4. Chênh lệch đánh giá lại tài sản,,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,33,383,393,134,140
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"9,538","43,688","60,735","58,616","60,851"
