HDB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,195","1,941","2,446","2,628","2,710"
II. Tiền gửi tại NHNN,"9,634","8,950","11,848","9,808","11,127"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","44,824","52,371","55,943","49,372","41,470"
"1. Tiền, vàng gửi tại các TCTD khác","44,009","52,171","55,837","49,072","40,019"
2. Cho vay các TCTD khác,815,200,105,300,"1,451"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"10,441","12,880","11,198","10,047","3,407"
1. Chứng khoán kinh doanh,"10,444","12,884","11,201","10,050","3,410"
2. Dự phòng giảm giá chứng khoán kinh doanh,-3,-3,-3,-3,-3
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,57,49,,,16
VI. Cho vay khách hàng,"189,797","189,346","200,759","222,466","234,742"
1. Cho vay và cho thuê tài chính khách hàng,"191,841","191,515","203,211","225,154","237,688"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,044","-2,169","-2,452","-2,688","-2,946"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"54,467","58,820","65,513","60,495","59,200"
1. Chứng khoán đầu tư sẵn sàng để bán,"29,206","34,270","43,656","43,513","46,951"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"25,349","24,647","21,956","17,072","12,326"
3. Dự phòng giảm giá chứng khoán đầu tư,-88,-97,-99,-90,-77
"VIII. Góp vốn, đầu tư dài hạn",143,143,124,143,144
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,166,166,144,164,164
4. Dự phòng giảm giá đầu tư dài hạn,-23,-23,-21,-21,-20
IX. Tài sản cố định,"1,179","1,176","1,366","1,319","1,294"
1. Tài sản cố định hữu hình,596,580,663,641,625
a. Nguyên giá TSCĐ,"1,360","1,368","1,475","1,476","1,476"
b. Hao mòn TSCĐ,-764,-788,-812,-835,-851
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,583,596,703,678,670
a. Nguyên giá TSCĐ,835,859,977,965,968
b. Hao mòn TSCĐ,-251,-263,-275,-286,-298
X. Bất động sản đầu tư,21,21,,,
a. Nguyên giá BĐSĐT,21,21,,,
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","18,213","20,658","25,415","24,768","30,156"
1. Các khoản phải thu,"12,606","15,453","20,235","19,286","24,098"
"2. Các khoản lãi, phí phải thu","3,602","3,403","3,256","3,486","4,007"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"2,047","1,844","1,967","2,039","2,096"
- Trong đó: Lợi thế thương mại,13,12,11,9,8
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-42,-42,-43,-43,-45
TỔNG CỘNG TÀI SẢN,"330,970","346,355","374,612","381,046","384,267"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,117,105,93,82,69
