LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,120",960,"1,179","1,368","1,157"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,294,318,333,347,357
Các khoản dự phòng,45,-3,31,23,236
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",16,7,42,-28,-12
"Lãi, lỗ từ hoạt động đầu tư",-208,-173,-194,-234,-303
Chi phí lãi vay,75,73,72,101,113
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,342","1,183","1,463","1,577","1,549"
"Tăng, giảm các khoản phải thu",-641,455,-591,-260,-85
"Tăng, giảm hàng tồn kho",212,-75,-54,157,229
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",803,"-1,319",751,175,699
"Tăng, giảm chi phí trả trước",-81,-63,-79,-451,-93
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-112,-97,-86,-69,-87
Thuế thu nhập doanh nghiệp đã nộp,-164,-200,-112,-130,-197
Tiền thu khác từ hoạt động kinh doanh,,,,,2
Tiền chi khác cho hoạt động kinh doanh,-78,-212,-48,-3,-29
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,281",-330,"1,245",996,"1,988"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-817,-905,-771,-838,-720
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,,2
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-501,-158,-140,-447,-462
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,-42,-64,-37,32
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,14,101,,8,11
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",138,134,146,166,137
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,165",-869,-829,"-1,147","-1,001"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,32,,40
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"1,686","3,005","2,933","4,654","2,812"
4. Tiền trả nợ gốc vay,"-1,739","-3,039","-2,314","-3,552","-3,599"
5. Tiền trả nợ gốc thuê tài chính,,,,,-2
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-119,-15,-664,-801,-4
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,-172,-48,-13,300,-753
Lưu chuyển tiền thuần trong kỳ,-56,"-1,248",403,149,235
Tiền và tương đương tiền đầu kỳ,"3,982","3,926","2,678","3,081","3,230"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,-12
Tiền và tương đương tiền cuối kỳ,"3,926","2,678","3,081","3,230","3,453"
