HDB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,570","1,376","1,636","1,409","1,361"
II. Tiền gửi tại NHNN,"1,532","2,244","2,389","1,329","5,583"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","14,719","16,048","18,580","24,106","22,723"
"1. Tiền, vàng gửi tại các TCTD khác","9,261","12,095","15,971","22,586","20,324"
2. Cho vay các TCTD khác,"5,457","3,953","2,609","1,520","2,399"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,916,453,397,705,397
1. Chứng khoán kinh doanh,923,456,400,708,400
2. Dự phòng giảm giá chứng khoán kinh doanh,-7,-3,-3,-3,-3
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,104,2,52,,
VI. Cho vay khách hàng,"70,820","73,449","81,304","87,143","95,876"
1. Cho vay và cho thuê tài chính khách hàng,"71,788","74,501","82,224","88,116","96,945"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-967,"-1,052",-920,-974,"-1,069"
VII. Hoạt động mua nợ,5,5,5,,
1. Mua nợ,9,9,9,,
2. Dự phòng rủi ro hoạt động mua nợ,-3,-3,-3,,
VII. Chứng khoán đầu tư,"28,050","33,197","34,261","37,077","32,459"
1. Chứng khoán đầu tư sẵn sàng để bán,"24,187","28,601","24,267","27,763","25,017"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"4,456","5,411","11,021","10,367","8,509"
3. Dự phòng giảm giá chứng khoán đầu tư,-592,-814,"-1,027","-1,053","-1,066"
"VIII. Góp vốn, đầu tư dài hạn",435,428,384,374,372
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,547,540,496,486,486
4. Dự phòng giảm giá đầu tư dài hạn,-112,-112,-112,-112,-113
IX. Tài sản cố định,753,768,"1,352","1,336","1,315"
1. Tài sản cố định hữu hình,486,479,525,505,487
a. Nguyên giá TSCĐ,925,941,"1,003","1,005","1,008"
b. Hao mòn TSCĐ,-439,-462,-479,-500,-521
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,266,289,827,831,828
a. Nguyên giá TSCĐ,417,444,988,998,"1,000"
b. Hao mòn TSCĐ,-150,-156,-161,-167,-172
X. Bất động sản đầu tư,62,74,88,90,58
a. Nguyên giá BĐSĐT,63,74,89,90,59
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","10,376","10,835","9,897","9,724","9,377"
1. Các khoản phải thu,"6,240","6,497","5,290","5,285","4,868"
"2. Các khoản lãi, phí phải thu","2,673","2,896","3,114","2,960","3,019"
3. Tài sản thuế TNDN hoãn lại,24,24,17,17,17
4. Tài sản Có khác,"1,479","1,458","1,511","1,496","1,507"
- Trong đó: Lợi thế thương mại,42,41,39,28,36
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-39,-39,-35,-35,-35
TỔNG CỘNG TÀI SẢN,"129,337","138,872","150,294","163,349","169,528"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,222,193,178,"2,051",153
