HDB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"8,287","9,776","11,019","12,671","13,391"
2. Chi phí lãi và các chi phí tương tự,"3,802","4,843","6,178","7,717","8,475"
I. Thu nhập lãi thuần,"4,485","4,932","4,841","4,955","4,916"
3. Thu nhập từ hoạt động dịch vụ,790,936,770,791,444
4. Chi phí hoạt động dịch vụ,97,116,92,190,126
II. Lãi/lỗ thuần từ hoạt động dịch vụ,693,820,677,601,318
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,97,-66,-50,145,186
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-9,0,28,76,30
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-12,-4,24,515,516
5. Thu nhập từ hoạt động khác,160,164,144,129,119
6. Chi phí hoạt động khác,20,-22,12,8,4
VI. Lãi/lỗ thuần từ hoạt động khác,140,186,132,122,115
"VII. Thu nhập từ góp vốn, mua cổ phần",,,5,,4
VIII. Chi phí hoạt động,"2,001","2,671","1,959","2,239","2,302"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,393","3,198","3,699","4,175","3,783"
X. Chi phí dự phòng rủi ro tín dụng,681,946,956,"1,433",636
XI. Tổng lợi nhuận trước thuế (IX-X),"2,712","2,252","2,743","2,742","3,147"
7. Chi phí thuế TNDN hiện hành,543,486,549,562,632
8. Chi phí thuế TNDN hoãn lại,,-33,,,
XII. Chi phí thuế TNDN,543,453,549,562,632
XIII. Lợi nhuận sau thuế (XI-XII),"2,169","1,799","2,194","2,180","2,515"
XIV. Lợi ích của cổ đông thiểu số,154,63,106,21,35
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,016","1,736","2,088","2,159","2,480"
Lãi cơ bản trên cổ phiếu (BCTC),,,830,,
