HDB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,096","1,998","1,950","2,039","2,005"
II. Tiền gửi tại NHNN,"5,386","3,416","1,725","6,403","4,504"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","32,426","19,600","21,502","21,532","24,665"
"1. Tiền, vàng gửi tại các TCTD khác","30,695","18,050","20,002","20,132","23,855"
2. Cho vay các TCTD khác,"1,730","1,550","1,500","1,400",810
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,,,
IV. Chứng khoán kinh doanh,"2,597","1,934","2,092","1,848","4,643"
1. Chứng khoán kinh doanh,"2,603","1,937","2,098","1,854","4,651"
2. Dự phòng giảm giá chứng khoán kinh doanh,-7,-3,-6,-6,-8
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,208,0,2,,
VI. Cho vay khách hàng,"121,792","127,556","136,296","138,631","144,700"
1. Cho vay và cho thuê tài chính khách hàng,"123,132","128,937","137,781","140,168","146,324"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,340","-1,380","-1,486","-1,536","-1,625"
VII. Hoạt động mua nợ,0,0,,,
1. Mua nợ,0,0,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,0,,,
VII. Chứng khoán đầu tư,"42,695","38,843","36,660","38,026","36,042"
1. Chứng khoán đầu tư sẵn sàng để bán,"25,755","22,959","22,410","21,764","15,749"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"17,889","16,794","15,158","17,212","20,696"
3. Dự phòng giảm giá chứng khoán đầu tư,-949,-910,-908,-950,-404
"VIII. Góp vốn, đầu tư dài hạn",165,165,167,167,167
1. Đầu tư vào công ty con,0,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,,,
3. Đầu tư dài hạn khác,185,185,185,185,185
4. Dự phòng giảm giá đầu tư dài hạn,-20,-20,-18,-18,-18
IX. Tài sản cố định,"1,615","1,608",858,859,904
1. Tài sản cố định hữu hình,569,564,490,493,532
