HDB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"15,559","14,379","14,245","14,222","15,149"
2. Chi phí lãi và các chi phí tương tự,"8,087","7,219","6,525","6,449","6,946"
I. Thu nhập lãi thuần,"7,473","7,160","7,720","7,773","8,203"
3. Thu nhập từ hoạt động dịch vụ,826,512,876,946,961
4. Chi phí hoạt động dịch vụ,234,156,651,534,538
II. Lãi/lỗ thuần từ hoạt động dịch vụ,592,357,225,412,423
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,283,175,310,124,235
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-92,-79,0,142,6
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,111,65,-50,-89,142
5. Thu nhập từ hoạt động khác,150,108,140,163,458
6. Chi phí hoạt động khác,259,34,52,13,65
VI. Lãi/lỗ thuần từ hoạt động khác,-109,73,88,151,394
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,22,46
VIII. Chi phí hoạt động,"2,630","2,455","3,030","2,951","3,540"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"5,628","5,297","5,263","5,584","5,908"
X. Chi phí dự phòng rủi ro tín dụng,"1,242","1,270","1,126","1,093","1,832"
XI. Tổng lợi nhuận trước thuế (IX-X),"4,385","4,028","4,137","4,490","4,076"
7. Chi phí thuế TNDN hiện hành,981,808,879,958,833
8. Chi phí thuế TNDN hoãn lại,-44,6,6,-13,5
XII. Chi phí thuế TNDN,938,814,885,945,839
XIII. Lợi nhuận sau thuế (XI-XII),"3,448","3,213","3,252","3,546","3,237"
XIV. Lợi ích của cổ đông thiểu số,104,103,137,122,123
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"3,344","3,110","3,115","3,424","3,115"
Lãi cơ bản trên cổ phiếu (BCTC),,"1,075",,,
