HDB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,597","2,938","2,691","2,903","2,766"
II. Tiền gửi tại NHNN,"9,870","11,273","12,162","14,769","31,970"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","50,667","49,132","56,769","87,191","55,427"
"1. Tiền, vàng gửi tại các TCTD khác","47,779","40,322","48,239","80,287","45,370"
2. Cho vay các TCTD khác,"2,887","8,810","8,530","6,904","10,058"
3. Dự phòng rủi ro cho vay các TCTD khác,0,,,,
IV. Chứng khoán kinh doanh,"2,383","1,798","3,868","7,306","21,600"
1. Chứng khoán kinh doanh,"2,386","1,798","3,868","7,306","21,600"
2. Dự phòng giảm giá chứng khoán kinh doanh,-3,0,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,206,0,,,
VI. Cho vay khách hàng,"243,426","260,755","285,239","283,565","288,137"
1. Cho vay và cho thuê tài chính khách hàng,"246,498","263,856","288,529","287,355","291,717"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-3,072","-3,102","-3,290","-3,790","-3,580"
VII. Hoạt động mua nợ,0,,,,
1. Mua nợ,0,,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,,,,
VII. Chứng khoán đầu tư,"56,383","48,789","55,794","44,652","51,041"
1. Chứng khoán đầu tư sẵn sàng để bán,"41,013","35,375","42,515","37,610","26,701"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"15,434","13,444","13,306","7,086","24,396"
3. Dự phòng giảm giá chứng khoán đầu tư,-64,-30,-28,-43,-55
"VIII. Góp vốn, đầu tư dài hạn",144,144,144,144,144
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,,,
3. Đầu tư dài hạn khác,164,164,164,164,164
4. Dự phòng giảm giá đầu tư dài hạn,-20,-20,-20,-20,-20
IX. Tài sản cố định,"1,304","1,315","1,292","1,308","1,326"
1. Tài sản cố định hữu hình,633,632,618,637,653
a. Nguyên giá TSCĐ,"1,510","1,519","1,525","1,571","1,613"
b. Hao mòn TSCĐ,-877,-888,-907,-934,-961
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,671,683,675,671,673
a. Nguyên giá TSCĐ,981,"1,006","1,010","1,017","1,029"
b. Hao mòn TSCĐ,-310,-323,-335,-346,-355
X. Bất động sản đầu tư,0,,,,
a. Nguyên giá BĐSĐT,0,,,,
b. Hao mòn BĐSĐT,0,,,,
