HDB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,272","1,512","1,650","2,152","1,829"
II. Tiền gửi tại NHNN,"2,330","1,922","2,269","3,309","2,419"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","20,773","21,861","19,681","23,539","23,318"
"1. Tiền, vàng gửi tại các TCTD khác","19,181","19,651","18,814","21,583","20,127"
2. Cho vay các TCTD khác,"1,592","2,211",868,"1,955","3,191"
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,,,
IV. Chứng khoán kinh doanh,642,"4,690","2,850","1,890","2,337"
1. Chứng khoán kinh doanh,645,"4,693","2,853","1,899","2,343"
2. Dự phòng giảm giá chứng khoán kinh doanh,-3,-3,-3,-9,-5
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,98,0,28,13,11
VI. Cho vay khách hàng,"95,490","103,336","114,673","118,965","119,572"
1. Cho vay và cho thuê tài chính khách hàng,"96,612","104,497","115,886","120,338","120,893"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,123","-1,161","-1,213","-1,373","-1,321"
VII. Hoạt động mua nợ,4,4,4,4,0
1. Mua nợ,8,8,8,8,8
2. Dự phòng rủi ro hoạt động mua nợ,-4,-4,-4,-4,-7
VII. Chứng khoán đầu tư,"42,683","45,802","39,387","32,819","40,680"
1. Chứng khoán đầu tư sẵn sàng để bán,"35,128","37,418","31,738","26,701","31,868"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"8,718","9,615","8,852","6,966","9,655"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,163","-1,230","-1,203",-848,-844
"VIII. Góp vốn, đầu tư dài hạn",370,378,376,375,375
1. Đầu tư vào công ty con,0,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,,,
3. Đầu tư dài hạn khác,483,490,487,487,487
4. Dự phòng giảm giá đầu tư dài hạn,-113,-112,-112,-112,-112
IX. Tài sản cố định,"1,305","1,527","1,523","1,509","1,511"
1. Tài sản cố định hữu hình,482,526,525,511,507
a. Nguyên giá TSCĐ,"1,023","1,078","1,093","1,098","1,103"
b. Hao mòn TSCĐ,-540,-552,-568,-587,-596
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,823,"1,000",997,998,"1,004"
a. Nguyên giá TSCĐ,"1,000","1,181","1,182","1,186","1,196"
b. Hao mòn TSCĐ,-177,-181,-185,-188,-191
X. Bất động sản đầu tư,58,46,52,52,52
