HDB,Q2/2008,Q3/2011,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/04-30/06,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,277,,"1,244","1,206","1,335"
2. Chi phí lãi và các chi phí tương tự,255,,"1,114","1,211","1,109"
I. Thu nhập lãi thuần,22,,130,-5,226
3. Thu nhập từ hoạt động dịch vụ,18,,12,16,22
4. Chi phí hoạt động dịch vụ,2,,5,6,7
II. Lãi/lỗ thuần từ hoạt động dịch vụ,16,,7,10,15
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,4,,-4,-6,-25
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,16,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,29,112,10
5. Thu nhập từ hoạt động khác,0,,172,0,13
6. Chi phí hoạt động khác,0,,0,7,1
VI. Lãi/lỗ thuần từ hoạt động khác,0,,172,-7,11
"VII. Thu nhập từ góp vốn, mua cổ phần",1,,1,116,26
VIII. Chi phí hoạt động,32,,212,134,237
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),12,,122,100,27
X. Chi phí dự phòng rủi ro tín dụng,-1,,47,37,20
XI. Tổng lợi nhuận trước thuế (IX-X),12,,75,64,8
7. Chi phí thuế TNDN hiện hành,3,,19,-13,2
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,3,,19,-13,2
XIII. Lợi nhuận sau thuế (XI-XII),9,,56,77,6
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),9,,56,77,6
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
