HDB,Q1/2014,Q1/2015,Q2/2015,Q3/2015,Q1/2016
Giai đoạn,01/01-31/03,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"1,519","1,811","1,773","1,956","2,427"
2. Chi phí lãi và các chi phí tương tự,"1,200","1,130","1,059","1,177","1,406"
I. Thu nhập lãi thuần,319,681,715,778,"1,021"
3. Thu nhập từ hoạt động dịch vụ,53,45,230,75,39
4. Chi phí hoạt động dịch vụ,11,11,12,13,12
II. Lãi/lỗ thuần từ hoạt động dịch vụ,41,34,218,63,27
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,12,0,8,9,46
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,2,1,21
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,62,28,-41,3,8
5. Thu nhập từ hoạt động khác,14,11,8,10,40
6. Chi phí hoạt động khác,3,11,6,6,30
VI. Lãi/lỗ thuần từ hoạt động khác,11,-1,2,4,10
"VII. Thu nhập từ góp vốn, mua cổ phần",0,2,13,17,0
VIII. Chi phí hoạt động,409,475,577,600,700
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),36,271,340,275,433
X. Chi phí dự phòng rủi ro tín dụng,5,104,167,212,144
XI. Tổng lợi nhuận trước thuế (IX-X),31,166,172,63,290
7. Chi phí thuế TNDN hiện hành,8,35,36,14,59
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,8,35,36,14,59
XIII. Lợi nhuận sau thuế (XI-XII),23,131,136,50,231
XIV. Lợi ích của cổ đông thiểu số,,,14,25,36
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),23,131,123,24,195
Lãi cơ bản trên cổ phiếu (BCTC),,,,,241
