HDB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,998","3,938","3,935","4,082","4,190"
2. Chi phí lãi và các chi phí tương tự,"2,134","2,193","2,103","2,198","2,421"
I. Thu nhập lãi thuần,"1,864","1,745","1,831","1,884","1,769"
3. Thu nhập từ hoạt động dịch vụ,53,99,130,136,142
4. Chi phí hoạt động dịch vụ,18,26,19,21,27
II. Lãi/lỗ thuần từ hoạt động dịch vụ,35,73,111,115,115
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,32,7,23,55,51
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,5,-2,83,27,16
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,343,-18,160,167,8
5. Thu nhập từ hoạt động khác,128,147,88,96,134
6. Chi phí hoạt động khác,6,26,16,6,31
VI. Lãi/lỗ thuần từ hoạt động khác,122,121,72,90,103
"VII. Thu nhập từ góp vốn, mua cổ phần",0,0,22,26,54
VIII. Chi phí hoạt động,"1,051","1,158","1,009","1,100","1,148"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,350",769,"1,294","1,264",968
X. Chi phí dự phòng rủi ro tín dụng,319,264,247,248,147
XI. Tổng lợi nhuận trước thuế (IX-X),"1,031",505,"1,047","1,016",821
7. Chi phí thuế TNDN hiện hành,207,92,213,196,166
8. Chi phí thuế TNDN hoãn lại,,-4,,,
XII. Chi phí thuế TNDN,207,88,213,196,166
XIII. Lợi nhuận sau thuế (XI-XII),825,417,834,820,656
XIV. Lợi ích của cổ đông thiểu số,46,68,77,82,88
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),779,349,757,738,567
Lãi cơ bản trên cổ phiếu (BCTC),,,772,,
