HDB,Q1/2008,Q2/2008,Q3/2011,Q1/2013,Q2/2013
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,259,277,,"1,244","1,206"
2. Chi phí lãi và các chi phí tương tự,242,255,,"1,114","1,211"
I. Thu nhập lãi thuần,17,22,,130,-5
3. Thu nhập từ hoạt động dịch vụ,37,18,,12,16
4. Chi phí hoạt động dịch vụ,1,2,,5,6
II. Lãi/lỗ thuần từ hoạt động dịch vụ,36,16,,7,10
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,9,4,,-4,-6
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,16
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,,29,112
5. Thu nhập từ hoạt động khác,3,0,,172,0
6. Chi phí hoạt động khác,0,0,,0,7
VI. Lãi/lỗ thuần từ hoạt động khác,3,0,,172,-7
"VII. Thu nhập từ góp vốn, mua cổ phần",9,1,,1,116
VIII. Chi phí hoạt động,30,32,,212,134
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),44,12,,122,100
X. Chi phí dự phòng rủi ro tín dụng,14,-1,,47,37
XI. Tổng lợi nhuận trước thuế (IX-X),31,12,,75,64
7. Chi phí thuế TNDN hiện hành,7,3,,19,-13
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,7,3,,19,-13
XIII. Lợi nhuận sau thuế (XI-XII),24,9,,56,77
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),24,9,,56,77
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
