HDB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"6,594","6,469","6,774","7,181","8,080"
2. Chi phí lãi và các chi phí tương tự,"3,125","3,162","3,021","3,138","3,528"
I. Thu nhập lãi thuần,"3,469","3,306","3,753","4,043","4,551"
3. Thu nhập từ hoạt động dịch vụ,594,377,811,666,917
4. Chi phí hoạt động dịch vụ,50,48,70,57,81
II. Lãi/lỗ thuần từ hoạt động dịch vụ,544,329,741,608,835
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,42,21,92,23,80
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,55,36,-9,38,-13
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,56,-12,37,309,19
5. Thu nhập từ hoạt động khác,122,85,209,120,144
6. Chi phí hoạt động khác,34,59,193,21,41
VI. Lãi/lỗ thuần từ hoạt động khác,88,26,16,99,104
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,2,5
VIII. Chi phí hoạt động,"1,683","1,412","1,657","1,926","2,033"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,571","2,294","2,973","3,197","3,548"
X. Chi phí dự phòng rủi ro tín dụng,478,403,988,669,772
XI. Tổng lợi nhuận trước thuế (IX-X),"2,093","1,891","1,985","2,528","2,776"
7. Chi phí thuế TNDN hiện hành,422,378,400,507,556
8. Chi phí thuế TNDN hoãn lại,,,-4,,
XII. Chi phí thuế TNDN,422,378,396,507,556
XIII. Lợi nhuận sau thuế (XI-XII),"1,671","1,513","1,589","2,020","2,220"
XIV. Lợi ích của cổ đông thiểu số,120,82,82,102,141
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,552","1,431","1,507","1,918","2,079"
Lãi cơ bản trên cổ phiếu (BCTC),,,,963,
