HDB,Q1/2008,Q2/2008,Q3/2011,Q1/2013,Q2/2013
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",238,166,"2,582",496,500
II. Tiền gửi tại NHNN,122,84,769,856,"1,364"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1,612","1,119","10,959","5,947","5,309"
"1. Tiền, vàng gửi tại các TCTD khác","1,612","1,119","10,959","2,135","1,889"
2. Cho vay các TCTD khác,0,"3,812","3,420",,
3. Dự phòng rủi ro cho vay các TCTD khác,0,,,,
IV. Chứng khoán kinh doanh,0,0,0,207,
1. Chứng khoán kinh doanh,0,0,0,207,
2. Dự phòng giảm giá chứng khoán kinh doanh,0,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,4,,,
VI. Cho vay khách hàng,"7,145","6,481","13,341","22,638","22,352"
1. Cho vay và cho thuê tài chính khách hàng,"7,195","6,530","13,469","22,879","22,631"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-49,-49,-128,-241,-279
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,841,611,"10,544","14,936","13,546"
1. Chứng khoán đầu tư sẵn sàng để bán,170,172,"8,641","13,376","11,928"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,674,444,"1,994","1,682","1,744"
3. Dự phòng giảm giá chứng khoán đầu tư,-2,-5,-91,-122,-126
"VIII. Góp vốn, đầu tư dài hạn",254,257,190,58,58
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,,,
3. Đầu tư dài hạn khác,254,257,190,61,61
4. Dự phòng giảm giá đầu tư dài hạn,0,-4,-4,,
IX. Tài sản cố định,70,81,285,308,281
1. Tài sản cố định hữu hình,57,67,221,246,222
a. Nguyên giá TSCĐ,69,81,288,377,344
b. Hao mòn TSCĐ,-12,-14,-67,-132,-122
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,13,13,64,62,59
a. Nguyên giá TSCĐ,13,14,79,88,88
b. Hao mòn TSCĐ,0,0,-15,-26,-29
X. Bất động sản đầu tư,0,,,,
a. Nguyên giá BĐSĐT,0,,,,
b. Hao mòn BĐSĐT,0,,,,
"XI. Tài sản ""Có"" khác",944,740,"5,018","15,285","15,206"
1. Các khoản phải thu,772,593,"3,860","12,548","12,562"
"2. Các khoản lãi, phí phải thu",161,136,809,"1,601","1,535"
3. Tài sản thuế TNDN hoãn lại,0,,,,
4. Tài sản Có khác,11,12,349,"1,143","1,115"
- Trong đó: Lợi thế thương mại,0,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,-7,-7,,
TỔNG CỘNG TÀI SẢN,"11,226","9,538","43,688","60,735","58,616"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,69,572,"2,045",152,131
II. Tiền gửi và vay các TCTD khác,"4,758","3,060","6,464","6,383","7,495"
1. Tiền gửi của các TCTD khác,"4,534","3,060","6,464","1,533","1,733"
2. Vay các TCTD khác,223,0,"4,850","5,762",
III. Tiền gửi của khách hàng,"4,229","3,856","22,789","44,788","42,827"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,4,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",10,0,,,
VI. Phát hành giấy tờ có giá,876,797,"7,052","2,800","1,953"
VII. Các khoản nợ khác,201,144,"1,868","1,164","1,007"
"1. Các khoản lãi, phí phải trả",123,119,563,660,783
2. Thuế TNDN hoãn lại phải trả,0,0,0,,
3. Các khoản phải trả và công nợ khác,75,23,"1,295",496,217
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),3,2,9,9,7
TỔNG NỢ PHẢI TRẢ,"10,133","8,439","40,222","55,288","53,413"
VIII. Vốn và các quỹ,"1,093","1,099","3,466","5,447","5,203"
1. Vốn của TCTD,"1,000","1,000","3,004","5,004","5,004"
a. Vốn điều lệ,"1,000","1,000","3,000","5,000","5,000"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,4,4,4,,
d. Cổ phiếu quỹ,0,,,,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,64,62,102,52,105
3. Chênh lệch tỷ giá hối đoái,4,3,-23,-2,-40
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,25,33,383,393,134
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"11,226","9,538","43,688","60,735","58,616"
