HDB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"5,452","5,438","6,035","6,213","6,340"
2. Chi phí lãi và các chi phí tương tự,"2,569","2,657","3,013","3,001","2,977"
I. Thu nhập lãi thuần,"2,884","2,780","3,022","3,212","3,363"
3. Thu nhập từ hoạt động dịch vụ,214,218,293,364,347
4. Chi phí hoạt động dịch vụ,56,76,-36,43,33
II. Lãi/lỗ thuần từ hoạt động dịch vụ,158,142,329,321,313
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,25,19,30,93,24
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,64,4,-17,54,20
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-32,119,28,25,396
5. Thu nhập từ hoạt động khác,59,144,125,303,80
6. Chi phí hoạt động khác,6,13,48,44,28
VI. Lãi/lỗ thuần từ hoạt động khác,53,131,77,259,52
"VII. Thu nhập từ góp vốn, mua cổ phần",,0,,,
VIII. Chi phí hoạt động,"1,608","1,130","1,562","1,872","1,632"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,543","2,065","1,906","2,093","2,537"
X. Chi phí dự phòng rủi ro tín dụng,292,408,432,656,437
XI. Tổng lợi nhuận trước thuế (IX-X),"1,251","1,657","1,474","1,437","2,100"
7. Chi phí thuế TNDN hiện hành,249,337,295,283,420
8. Chi phí thuế TNDN hoãn lại,,-1,,8,
XII. Chi phí thuế TNDN,249,337,295,290,420
XIII. Lợi nhuận sau thuế (XI-XII),"1,001","1,320","1,179","1,146","1,680"
XIV. Lợi ích của cổ đông thiểu số,113,110,87,88,117
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),889,"1,211","1,091","1,058","1,563"
Lãi cơ bản trên cổ phiếu (BCTC),922,,,,981
