VNM,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
B. VỐN CHỦ SỞ HỮU,"4,421","5,106","5,610","5,916","6,456"
I. Vốn chủ sở hữu,"4,421","5,106","5,610","5,916","6,456"
1. Vốn góp của chủ sở hữu,"1,753","1,753","1,756","3,513","3,513"
- Cổ phiếu phổ thông có quyền biểu quyết,,,,,
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"1,065","1,065","1,065",0,0
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,0,0,0,0,0
5. Cổ phiếu quỹ (*),0,0,0,0,0
6. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
7. Chênh lệch tỷ giá hối đoái,0,0,0,0,0
8. Quỹ đầu tư phát triển,868,919,"1,537","1,659","1,756"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,0,0,0,0,0
11. Lợi nhuận sau thuế chưa phân phối,560,"1,194","1,076",557,893
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,
- LNST chưa phân phối kỳ này,,,,,
12. Nguồn vốn đầu tư XDCB,0,0,0,0,0
13. Lợi ích cổ đông không kiểm soát,,,,,
14. Quỹ dự phòng tài chính,175,175,176,187,294
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,51,51,52,51,35
TỔNG CỘNG NGUỒN VỐN,"5,933","6,105","6,840","7,491","8,531"
