VNM,Q2/2006,Q3/2006,Q4/2006,Q1/2007,Q2/2007
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Công ty mẹ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,544","1,927","1,900","1,384","1,738"
2. Các khoản giảm trừ doanh thu,7,7,23,4,4
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,537","1,921","1,877","1,380","1,734"
4. Giá vốn hàng bán,"1,096","1,449","1,520",989,"1,252"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,441,472,357,391,482
6.Doanh thu hoạt động tài chính,11,5,15,162,34
7. Chi phí tài chính,4,22,1,14,18
Trong đó :Chi phí lãi vay,3,0,0,2,2
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,196,272,279,210,231
10. Chi phí quản lý doanh nghiệp,25,32,35,56,47
11. Lợi nhuận thuần từ hoạt động kinh doanh,226,150,57,273,221
12. Thu nhập khác,2,3,106,55,65
13. Chi phí khác,0,3,0,5,37
14. Lợi nhuận khác,2,0,106,50,28
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,0,0,0,0,0
15. Tổng lợi nhuận kế toán trước thuế,228,150,163,323,248
16. Chi phí thuế TNDN hiện hành,3,0,0,0,0
17. Chi phí thuế TNDN hoãn lại,0,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,225,150,163,323,248
Lợi ích của cổ đông thiểu số,0,0,0,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,225,150,163,323,248
19. Lãi cơ bản trên cổ phiếu (*),"1,416",944,"1,025","1,968","1,430"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
