VNM,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,,,PWC,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"5,538","5,813","6,090","5,985","7,152"
2. Các khoản giảm trừ doanh thu,118,116,115,108,141
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"5,420","5,697","5,975","5,876","7,011"
4. Giá vốn hàng bán,"3,719","4,024","4,271","4,077","4,589"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,702","1,673","1,704","1,800","2,422"
6.Doanh thu hoạt động tài chính,198,176,172,146,148
7. Chi phí tài chính,82,23,42,-13,13
Trong đó :Chi phí lãi vay,0,0,0,0,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,419,505,546,418,626
10. Chi phí quản lý doanh nghiệp,114,120,137,113,134
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,285","1,202","1,152","1,427","1,797"
12. Thu nhập khác,68,63,92,109,54
13. Chi phí khác,41,0,19,9,21
14. Lợi nhuận khác,27,63,73,100,33
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,-3,-7,2,13,0
15. Tổng lợi nhuận kế toán trước thuế,"1,308","1,258","1,227","1,540","1,830"
16. Chi phí thuế TNDN hiện hành,208,201,189,274,355
17. Chi phí thuế TNDN hoãn lại,-7,-6,-4,-4,-30
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,107","1,062","1,042","1,270","1,506"
Lợi ích của cổ đông thiểu số,0,0,0,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,107","1,062","1,042","1,270","1,506"
19. Lãi cơ bản trên cổ phiếu (*),"3,064","2,866","1,874","2,286","2,709"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
