VNM,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"2,292","2,110","2,728","3,054","2,929"
2. Các khoản giảm trừ doanh thu,40,41,53,57,56
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"2,252","2,069","2,675","2,998","2,873"
4. Giá vốn hàng bán,"1,593","1,398","1,670","1,857","1,811"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,659,671,"1,005","1,141","1,062"
6.Doanh thu hoạt động tài chính,48,81,50,77,114
7. Chi phí tài chính,26,35,116,-28,52
Trong đó :Chi phí lãi vay,0,0,0,0,0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,340,217,312,334,383
10. Chi phí quản lý doanh nghiệp,116,60,70,72,91
11. Lợi nhuận thuần từ hoạt động kinh doanh,225,440,558,839,650
12. Thu nhập khác,40,26,27,31,64
13. Chi phí khác,2,5,1,3,2
14. Lợi nhuận khác,38,20,26,28,63
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,-26,113,0,0,0
15. Tổng lợi nhuận kế toán trước thuế,238,573,583,867,712
16. Chi phí thuế TNDN hiện hành,27,105,25,135,112
17. Chi phí thuế TNDN hoãn lại,0,-17,-7,2,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,212,485,564,730,600
Lợi ích của cổ đông thiểu số,4,0,10,0,-1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,208,485,555,731,601
19. Lãi cơ bản trên cổ phiếu (*),"1,187","2,768","3,164","4,165","1,714"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
