VNM,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Soát xét
Công ty kiểm toán,PWC,,KPMG,,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần,,Chấp nhận toàn phần,,Chấp nhận toàn phần
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"6,761","7,204","6,817","8,234","8,191"
2. Các khoản giảm trừ doanh thu,142,149,141,164,163
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"6,619","7,055","6,676","8,070","8,028"
4. Giá vốn hàng bán,"4,277","4,541","4,220","4,948","5,093"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,342","2,514","2,456","3,122","2,935"
6.Doanh thu hoạt động tài chính,72,110,110,129,134
7. Chi phí tài chính,19,32,21,-23,30
Trong đó :Chi phí lãi vay,0,,,,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,602,700,568,"1,243",876
10. Chi phí quản lý doanh nghiệp,140,138,138,-159,151
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,653","1,754","1,838","2,191","2,012"
12. Thu nhập khác,36,152,35,60,36
13. Chi phí khác,21,13,11,11,8
14. Lợi nhuận khác,16,139,24,49,28
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,-3,2,6,6,17
15. Tổng lợi nhuận kế toán trước thuế,"1,666","1,894","1,868","2,247","2,056"
16. Chi phí thuế TNDN hiện hành,257,253,325,441,381
17. Chi phí thuế TNDN hoãn lại,14,-6,12,-37,-16
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,395","1,648","1,531","1,843","1,690"
Lợi ích của cổ đông thiểu số,,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,395","1,648","1,531","1,843","1,690"
19. Lãi cơ bản trên cổ phiếu (*),"2,511","1,977","1,837","2,211","2,028"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
