LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"1,764","2,823","1,368","1,845","2,170"
2. Chi phí lãi và các chi phí tương tự đã trả,"-1,133","-1,332","-1,274",-987,"-1,262"
3. Thu nhập từ hoạt động dịch vụ nhận được,21,5,23,26,48
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",85,18,46,109,255
5. Thu nhập khác,,,,1,1
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",,,,2,6
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-303,-347,-367,-401,-368
8. Tiền thuế thu nhập thực nộp trong kỳ,-7,-19,-48,-2,-14
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,428,"1,148",-251,591,835
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","1,435",-433,-186,"-1,226","1,652"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,-539,"-1,497","-1,295",423,"3,129"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,-11,-10,17,-7
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-1,702","-4,962","-2,700","-2,265","-1,586"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,,-49,,-152,-9
14. (Tăng)/Giảm khác về tài sản hoạt động,-270,388,32,-277,524
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-477,-12,-5,-9,-12
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","6,286","6,458","-6,889","-1,351","-8,051"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"-1,996","5,624","2,892","5,703","3,353"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),,828,,"3,500",909
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,-30,3,,,128
21. Tăng/(Giảm) khác về công nợ hoạt động,124,109,-173,-22,-244
22. Chi từ các quỹ của TCTD,,1,,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"3,258","7,594","-8,586","4,931",622
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-10,-6,-13,-13,-10
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,
4. Mua sắm bất động sản đầu tư,,-3,,-9,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,8,,15,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,-691
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",4,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,,,,2
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-6,-2,-13,-7,-699
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,,,,
IV- Lưu chuyển tiền thuần trong kỳ,"3,252","7,592","-8,598","4,924",-77
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,,"19,313",,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"3,252","7,592","10,715","4,924",-77
