TPB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,023","2,559","2,553","2,477","1,835"
II. Tiền gửi tại NHNN,"16,421","11,574","18,040","14,077","14,590"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","24,763","38,117","48,753","37,628","40,739"
"1. Tiền, vàng gửi tại các TCTD khác","14,086","27,188","35,868","28,993","26,523"
2. Cho vay các TCTD khác,"10,677","10,929","12,885","8,636","14,215"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,,,,,
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,196,190,,,
VI. Cho vay khách hàng,"130,003","131,412","139,463","147,720","149,008"
1. Cho vay và cho thuê tài chính khách hàng,"132,204","133,002","141,228","149,875","151,084"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,200","-1,590","-1,765","-2,155","-2,076"
VII. Hoạt động mua nợ,"1,000",959,960,354,349
1. Mua nợ,"1,007",966,968,356,352
2. Dự phòng rủi ro hoạt động mua nợ,-8,-7,-7,-3,-3
VII. Chứng khoán đầu tư,"49,403","53,854","62,405","77,405","76,532"
1. Chứng khoán đầu tư sẵn sàng để bán,"49,526","53,948","62,735","77,804","76,665"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,45,45,45,45,45
3. Dự phòng giảm giá chứng khoán đầu tư,-168,-139,-375,-443,-178
"VIII. Góp vốn, đầu tư dài hạn",,,,,
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,,,,,
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,762,778,789,741,811
1. Tài sản cố định hữu hình,519,517,513,479,510
a. Nguyên giá TSCĐ,"1,057","1,097","1,133","1,139","1,217"
b. Hao mòn TSCĐ,-538,-580,-620,-660,-707
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,243,261,276,262,301
a. Nguyên giá TSCĐ,537,580,620,632,696
b. Hao mòn TSCĐ,-294,-319,-345,-369,-396
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","17,684","20,884","19,865","22,220","26,909"
1. Các khoản phải thu,"14,328","17,219","16,283","18,293","22,707"
"2. Các khoản lãi, phí phải thu","1,733","2,099","1,935","2,276","2,484"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"1,626","1,570","1,651","1,655","1,721"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-3,-3,-4,-4,-4
