TPB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",,685,815,784,816
II. Tiền gửi tại NHNN,,913,"1,362","1,163","1,080"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",,"18,578","23,785","26,406","27,883"
"1. Tiền, vàng gửi tại các TCTD khác",,"12,511","19,237","25,036","25,523"
2. Cho vay các TCTD khác,,"6,067","4,547","1,370","2,360"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,,,,,
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,8,29,,
VI. Cho vay khách hàng,,"37,434","46,211","42,816","52,559"
1. Cho vay và cho thuê tài chính khách hàng,,"37,793","46,643","43,254","53,074"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,,-359,-432,-438,-515
VII. Hoạt động mua nợ,,,678,655,633
1. Mua nợ,,,683,660,638
2. Dự phòng rủi ro hoạt động mua nợ,,,-5,-5,-5
VII. Chứng khoán đầu tư,,"24,129","29,902","29,359","29,406"
1. Chứng khoán đầu tư sẵn sàng để bán,,"23,425","29,176","28,693","28,837"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,989,"1,020","1,020","1,002"
3. Dự phòng giảm giá chứng khoán đầu tư,,-285,-294,-354,-433
"VIII. Góp vốn, đầu tư dài hạn",,,,,
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,,,,,
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,,93,144,174,196
1. Tài sản cố định hữu hình,,93,100,116,115
a. Nguyên giá TSCĐ,,223,239,264,270
b. Hao mòn TSCĐ,,-131,-139,-148,-155
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,,,44,58,81
a. Nguyên giá TSCĐ,,,104,122,154
b. Hao mòn TSCĐ,,,-60,-64,-73
X. Bất động sản đầu tư,,44,,,
a. Nguyên giá BĐSĐT,,101,,,
b. Hao mòn BĐSĐT,,-56,,,
"XI. Tài sản ""Có"" khác",,"7,624","2,886","3,434","3,104"
1. Các khoản phải thu,,"4,342","1,270","1,704","1,450"
"2. Các khoản lãi, phí phải thu",,"1,161","1,310","1,283","1,273"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,,"3,021","1,192","1,335","1,270"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,-900,-885,-889,-889
TỔNG CỘNG TÀI SẢN,,"89,508","105,812","104,792","115,678"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,,"1,134","1,500","1,183","1,153"
II. Tiền gửi và vay các TCTD khác,,"35,760","41,245","40,583","48,238"
1. Tiền gửi của các TCTD khác,,"19,387","24,735","28,091","35,461"
2. Vay các TCTD khác,,"16,373","16,510","12,493","12,777"
III. Tiền gửi của khách hàng,,"45,799","55,082","54,761","57,072"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,107,101
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,200,"1,212",846,"1,637"
VI. Phát hành giấy tờ có giá,,,,,1
VII. Các khoản nợ khác,,"1,053","1,090","1,484","1,317"
"1. Các khoản lãi, phí phải trả",,771,858,850,844
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,,283,232,634,473
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,,"83,945","100,129","98,965","109,519"
VIII. Vốn và các quỹ,,"5,562","5,683","5,826","6,159"
1. Vốn của TCTD,,"4,930","5,040","5,040","5,521"
a. Vốn điều lệ,,"5,842","5,842","5,842","5,842"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,-909,-719,-719,-238
d. Cổ phiếu quỹ,,-3,-83,-83,-83
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,,77,76,76,161
3. Chênh lệch tỷ giá hối đoái,,24,,-71,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,,532,567,781,478
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,"89,508","105,812","104,792","115,678"
