TPB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,031","1,177","1,319","1,001","1,120"
II. Tiền gửi tại NHNN,755,"2,364","1,092","5,778","1,373"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","23,785","22,488","14,556","15,734","17,487"
"1. Tiền, vàng gửi tại các TCTD khác","21,835","22,088","14,256","14,829","16,987"
2. Cho vay các TCTD khác,"1,950",400,300,905,500
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,,,,,
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,4,
VI. Cho vay khách hàng,"56,129","62,748","69,053","72,918","72,899"
1. Cho vay và cho thuê tài chính khách hàng,"56,708","63,423","69,795","73,770","73,806"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-579,-675,-742,-852,-906
VII. Hoạt động mua nợ,608,580,554,540,"1,098"
1. Mua nợ,612,585,559,544,"1,107"
2. Dự phòng rủi ro hoạt động mua nợ,-5,-5,-4,-4,-9
VII. Chứng khoán đầu tư,"28,051","25,465","28,882","22,992","23,799"
1. Chứng khoán đầu tư sẵn sàng để bán,"27,633","24,938","28,369","22,656","23,472"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,997,994,993,802,801
3. Dự phòng giảm giá chứng khoán đầu tư,-579,-467,-480,-465,-475
"VIII. Góp vốn, đầu tư dài hạn",,,,,
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,,,,,
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,183,251,243,280,271
1. Tài sản cố định hữu hình,108,175,164,190,177
a. Nguyên giá TSCĐ,275,356,357,396,397
b. Hao mòn TSCĐ,-167,-181,-193,-206,-221
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,75,76,79,91,94
a. Nguyên giá TSCĐ,155,163,171,190,201
b. Hao mòn TSCĐ,-81,-87,-93,-99,-107
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","3,926","8,967","5,515","7,285","8,865"
1. Các khoản phải thu,"2,120","6,733","2,974","4,860","4,803"
"2. Các khoản lãi, phí phải thu","1,448","1,283","1,335","1,150","1,316"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"1,247","1,868","1,245","1,312","2,782"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-889,-917,-39,-37,-37
TỔNG CỘNG TÀI SẢN,"114,468","124,040","121,214","126,533","126,912"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"1,121","1,082","1,060","1,031","1,453"
II. Tiền gửi và vay các TCTD khác,"43,696","38,252","31,264","29,971","35,228"
1. Tiền gửi của các TCTD khác,"30,108","27,759","24,318","24,353","24,839"
2. Vay các TCTD khác,"13,588","10,493","6,946","5,618","10,389"
III. Tiền gửi của khách hàng,"58,904","70,299","73,127","75,170","70,159"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,91,84,30,,91
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,202","2,628","1,900","1,846","1,564"
VI. Phát hành giấy tờ có giá,294,"3,481","4,516","6,807","6,132"
VII. Các khoản nợ khác,"1,730","1,537","2,039","2,051","2,083"
"1. Các khoản lãi, phí phải trả","1,021","1,145","1,251","1,214","1,383"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,709,392,789,837,700
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"108,039","117,363","113,936","116,876","116,710"
VIII. Vốn và các quỹ,"6,429","6,677","7,278","9,657","10,202"
1. Vốn của TCTD,"5,546","5,552","5,552","7,977","7,977"
a. Vốn điều lệ,"5,842","5,842","5,842","6,718","6,718"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,-241,-234,-234,"1,314","1,314"
d. Cổ phiếu quỹ,-55,-55,-55,-55,-55
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,161,161,161,305,305
3. Chênh lệch tỷ giá hối đoái,10,,68,,75
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,712,964,"1,497","1,374","1,845"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"114,468","124,040","121,214","126,533","126,912"
