TPB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,392","2,427","3,421","2,182","2,103"
II. Tiền gửi tại NHNN,"9,188","11,989","8,983","9,213","10,397"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","46,897","53,365","56,286","56,630","58,926"
"1. Tiền, vàng gửi tại các TCTD khác","31,425","36,886","38,778","39,363","41,233"
2. Cho vay các TCTD khác,"15,473","16,479","17,508","17,267","17,693"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,,,,,
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,95,203,282,295,
VI. Cho vay khách hàng,"154,164","159,160","170,659","174,731","177,432"
1. Cho vay và cho thuê tài chính khách hàng,"156,191","160,993","172,753","177,113","179,946"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,027","-1,833","-2,094","-2,383","-2,514"
VII. Hoạt động mua nợ,318,181,115,159,146
1. Mua nợ,320,182,116,160,147
2. Dự phòng rủi ro hoạt động mua nợ,-2,-1,-1,-1,-1
VII. Chứng khoán đầu tư,"76,109","74,377","78,680","73,758","67,867"
1. Chứng khoán đầu tư sẵn sàng để bán,"76,236","74,521","78,815","73,881","68,047"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,45,45,45,45,45
3. Dự phòng giảm giá chứng khoán đầu tư,-171,-189,-180,-167,-225
"VIII. Góp vốn, đầu tư dài hạn",,,,,
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,,,,,
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,087","1,205","1,135","1,068","1,103"
1. Tài sản cố định hữu hình,802,903,856,805,769
a. Nguyên giá TSCĐ,"1,571","1,726","1,738","1,747","1,771"
b. Hao mòn TSCĐ,-769,-822,-882,-943,"-1,002"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,285,302,279,263,334
a. Nguyên giá TSCĐ,708,751,754,765,863
b. Hao mòn TSCĐ,-424,-449,-475,-502,-529
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","27,077","25,727","23,962","25,370","26,429"
1. Các khoản phải thu,"22,339","17,546","15,154","17,078","18,128"
"2. Các khoản lãi, phí phải thu","2,974","3,141","3,393","3,275","3,383"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"1,769","5,046","5,421","5,022","4,923"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-4,-5,-5,-5,-5
TỔNG CỘNG TÀI SẢN,"317,328","328,634","343,522","343,407","344,403"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,461,433,413,"2,977",366
II. Tiền gửi và vay các TCTD khác,"87,201","73,496","82,742","88,140","97,361"
1. Tiền gửi của các TCTD khác,"50,077","47,266","59,511","59,165","79,330"
2. Vay các TCTD khác,"37,124","26,230","23,231","28,975","18,031"
III. Tiền gửi của khách hàng,"162,695","194,960","200,998","199,127","193,753"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,128
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",420,165,153,101,82
VI. Phát hành giấy tờ có giá,"29,843","20,430","19,086","15,266","12,169"
VII. Các khoản nợ khác,"6,071","6,911","6,467","6,810","8,159"
"1. Các khoản lãi, phí phải trả","3,647","4,125","5,340","5,435","6,363"
2. Thuế TNDN hoãn lại phải trả,,"2,785",,,
3. Các khoản phải trả và công nợ khác,"2,424",,"1,127","1,375","1,796"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"286,690","296,395","309,860","312,421","312,019"
VIII. Vốn và các quỹ,"30,637","32,239","33,662","30,986","32,384"
1. Vốn của TCTD,"18,379","18,379","18,379","22,016","22,016"
a. Vốn điều lệ,"15,818","15,818","15,818","22,016","22,016"
b. Vốn đầu tư XDCB,"2,561","2,561","2,561",,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"2,113","2,113","2,113","3,052","3,052"
3. Chênh lệch tỷ giá hối đoái,-82,,10,,138
4. Chênh lệch đánh giá lại tài sản,,,"13,160",,"7,177"
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"10,228","11,747",,"5,917",
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"317,328","328,634","343,522","343,407","344,403"
