LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Đơn lẻ,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"1,775","2,129","2,058","2,454","2,163"
2. Chi phí lãi và các chi phí tương tự đã trả,-894,-911,"-1,113","-1,258","-1,076"
3. Thu nhập từ hoạt động dịch vụ nhận được,47,39,75,170,195
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",62,83,212,128,57
5. Thu nhập khác,9,22,22,95,-7
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",,,,,13
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-431,-642,-642,-644,-704
8. Tiền thuế thu nhập thực nộp trong kỳ,-40,-30,-146,-35,-30
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,528,690,465,910,611
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",-50,"1,300",900,395,405
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"1,205",-861,-326,"4,398",-166
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,,,-4,4
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-3,604","-6,683","-6,345","-3,857",-598
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-6,-907,,-104,
14. (Tăng)/Giảm khác về tài sản hoạt động,-951,288,662,-385,"-1,083"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-32,-39,-23,-29,422
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-4,541","-6,472","-7,253",-794,"3,698"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"1,832","11,395","2,828","2,044","-5,011"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),293,"3,187","1,035","2,291",-675
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",565,426,-728,-54,-282
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,-9,-7,-54,-30,91
21. Tăng/(Giảm) khác về công nợ hoạt động,479,-370,619,-953,494
22. Chi từ các quỹ của TCTD,,,,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-4,292","1,947","-8,219","3,828","-2,090"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-7,-78,-11,-58,-14
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,,,,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-7,-78,-11,-58,-14
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,"2,190",
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,-51,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,32,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,32,,,"2,140",
IV- Lưu chuyển tiền thuần trong kỳ,"-4,268","1,869","-8,230","5,910","-2,104"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,,"24,330",101,-101
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,10,-10,68,-68,75
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"-4,257","1,859","16,168","5,943","-2,131"
