BID,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","7,323","7,044","7,107","8,442","8,522"
II. Tiền gửi tại NHNN,"27,426","14,740","35,824","25,726","31,171"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","64,693","77,178","62,863","63,946","78,258"
"1. Tiền, vàng gửi tại các TCTD khác","46,584","53,237","40,847","41,107","46,786"
2. Cho vay các TCTD khác,"18,168","24,004","22,076","22,898","31,533"
3. Dự phòng rủi ro cho vay các TCTD khác,-59,-63,-60,-58,-61
IV. Chứng khoán kinh doanh,"11,182","11,758","10,016","3,757","9,057"
1. Chứng khoán kinh doanh,"11,203","12,049","10,086","3,821","9,129"
2. Dự phòng giảm giá chứng khoán kinh doanh,-21,-291,-70,-64,-72
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,78,78,,24,198
VI. Cho vay khách hàng,"647,674","664,598","713,682","746,941","794,655"
1. Cho vay và cho thuê tài chính khách hàng,"657,623","675,212","723,697","758,530","807,371"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-9,949","-10,614","-10,016","-11,589","-12,716"
VII. Hoạt động mua nợ,0,,,,
1. Mua nợ,0,,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,,,,
VII. Chứng khoán đầu tư,"137,448","139,746","144,193","143,448","146,032"
1. Chứng khoán đầu tư sẵn sàng để bán,"102,462","105,791","113,150","113,427","115,518"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"38,988","39,055","37,333","36,982","38,225"
3. Dự phòng giảm giá chứng khoán đầu tư,"-4,003","-5,100","-6,290","-6,961","-7,712"
"VIII. Góp vốn, đầu tư dài hạn","4,432","4,445","4,333","4,568","2,773"
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","4,075","4,107","3,994","4,268","2,585"
3. Đầu tư dài hạn khác,464,445,457,435,270
4. Dự phòng giảm giá đầu tư dài hạn,-107,-107,-119,-135,-82
IX. Tài sản cố định,"8,335","8,388","9,722","9,525","9,910"
1. Tài sản cố định hữu hình,"4,348","4,427","5,374","5,216","5,481"
a. Nguyên giá TSCĐ,"8,190","8,420","9,606","9,600","10,182"
b. Hao mòn TSCĐ,"-3,842","-3,993","-4,232","-4,383","-4,702"
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,"3,987","3,961","4,348","4,309","4,430"
a. Nguyên giá TSCĐ,"4,755","4,764","5,284","5,291","5,482"
b. Hao mòn TSCĐ,-769,-803,-935,-982,"-1,053"
X. Bất động sản đầu tư,0,,,,
a. Nguyên giá BĐSĐT,0,,,,
b. Hao mòn BĐSĐT,0,,,,
"XI. Tài sản ""Có"" khác","21,677","22,403","18,896","19,875","19,856"
1. Các khoản phải thu,"7,344","7,131","5,869","6,236","7,075"
"2. Các khoản lãi, phí phải thu","9,090","9,827","9,427","9,510","8,359"
3. Tài sản thuế TNDN hoãn lại,0,4,7,11,13
4. Tài sản Có khác,"5,394","5,598","3,744","4,273","4,567"
- Trong đó: Lợi thế thương mại,0,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-151,-157,-151,-156,-158
