BID,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,863","4,377","4,736","4,417","5,394"
II. Tiền gửi tại NHNN,"12,835","5,223","7,562","9,662","23,098"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","47,659","58,124","57,060","58,137","50,062"
"1. Tiền, vàng gửi tại các TCTD khác","34,011","43,629","39,360","40,722","36,339"
2. Cho vay các TCTD khác,"13,811","14,660","17,817","17,527","13,781"
3. Dự phòng rủi ro cho vay các TCTD khác,-164,-165,-117,-112,-57
IV. Chứng khoán kinh doanh,"1,558","6,849","9,683","4,280","8,431"
1. Chứng khoán kinh doanh,"1,590","6,875","9,709","4,305","8,461"
2. Dự phòng giảm giá chứng khoán kinh doanh,-32,-26,-26,-24,-30
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,240,196,79,,
VI. Cho vay khách hàng,"384,837","391,709","389,643","405,158","439,154"
1. Cho vay và cho thuê tài chính khách hàng,"391,036","398,287","397,428","412,434","445,693"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-6,199","-6,578","-7,786","-7,275","-6,539"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"68,072","73,672","77,387","82,628","91,635"
1. Chứng khoán đầu tư sẵn sàng để bán,"56,842","60,212","63,420","66,139","73,993"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"11,565","13,795","15,012","17,507","19,528"
3. Dự phòng giảm giá chứng khoán đầu tư,-335,-335,"-1,046","-1,017","-1,886"
"VIII. Góp vốn, đầu tư dài hạn","4,392","4,453","4,500","4,773","4,797"
1. Đầu tư vào công ty con,"3,286",,,,
"2. Đầu tư vào công ty liên doanh, liên kết",516,"3,890","3,895","4,280","4,314"
3. Đầu tư dài hạn khác,919,891,884,770,622
4. Dự phòng giảm giá đầu tư dài hạn,-329,-328,-279,-276,-139
IX. Tài sản cố định,"5,201","5,144","5,110","5,306","6,672"
