BID,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","12,177","13,745","12,401","11,489","10,731"
II. Tiền gửi tại NHNN,"45,003","111,418","74,132","47,537","42,654"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","259,682","221,147","174,793","199,683","194,289"
"1. Tiền, vàng gửi tại các TCTD khác","233,692","203,436","162,364","186,327","178,524"
2. Cho vay các TCTD khác,"26,111","17,796","12,515","13,439","15,850"
3. Dự phòng rủi ro cho vay các TCTD khác,-122,-85,-85,-83,-85
IV. Chứng khoán kinh doanh,"1,111","1,701","1,603","3,449","5,578"
1. Chứng khoán kinh doanh,"1,165","1,748","1,624","3,469","5,598"
2. Dự phòng giảm giá chứng khoán kinh doanh,-54,-47,-21,-21,-20
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,232,"1,038",196,296,
VI. Cho vay khách hàng,"1,451,882","1,484,031","1,554,794","1,589,448","1,611,644"
1. Cho vay và cho thuê tài chính khách hàng,"1,494,904","1,522,229","1,597,152","1,629,067","1,653,452"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-43,021","-38,198","-42,359","-39,619","-41,809"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"231,923","235,636","236,749","219,199","207,553"
1. Chứng khoán đầu tư sẵn sàng để bán,"158,009","162,283","163,982","147,038","128,583"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"74,134","73,735","73,148","72,513","79,616"
3. Dự phòng giảm giá chứng khoán đầu tư,-219,-381,-381,-352,-647
"VIII. Góp vốn, đầu tư dài hạn","3,090","2,977","3,027","3,003","3,140"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","2,985","2,872","2,921","2,898","3,039"
3. Đầu tư dài hạn khác,215,215,215,219,215
4. Dự phòng giảm giá đầu tư dài hạn,-110,-109,-109,-114,-114
IX. Tài sản cố định,"10,132","10,532","10,376","10,612","10,486"
1. Tài sản cố định hữu hình,"5,801","6,096","5,988","6,111","5,998"
a. Nguyên giá TSCĐ,"14,215","14,594","14,703","15,086","15,170"
b. Hao mòn TSCĐ,"-8,414","-8,498","-8,715","-8,975","-9,172"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"4,331","4,436","4,388","4,501","4,488"
a. Nguyên giá TSCĐ,"6,479","6,640","6,647","6,840","6,891"
