BID,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","4,110","3,326","3,883","4,230","3,863"
II. Tiền gửi tại NHNN,"10,735","16,312","9,082","12,340","10,894"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","42,549","53,770","46,666","47,881","50,177"
"1. Tiền, vàng gửi tại các TCTD khác","23,335","26,479","19,908","31,236","32,524"
2. Cho vay các TCTD khác,"19,450","27,616","27,070","16,851","17,848"
3. Dự phòng rủi ro cho vay các TCTD khác,-236,-325,-312,-205,-195
IV. Chứng khoán kinh doanh,"3,466","4,105","6,887","7,435","2,378"
1. Chứng khoán kinh doanh,"3,596","4,232","6,933","7,470","2,413"
2. Dự phòng giảm giá chứng khoán kinh doanh,-131,-127,-46,-35,-35
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,27,,,,153
VI. Cho vay khách hàng,"327,616","334,079","338,146","357,484","365,890"
1. Cho vay và cho thuê tài chính khách hàng,"335,452","339,931","344,893","364,772","373,205"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-7,836","-5,852","-6,747","-7,288","-7,314"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"44,457","48,985","55,358","64,736","73,779"
1. Chứng khoán đầu tư sẵn sàng để bán,"43,207","47,827","54,009","58,292","65,558"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,676","1,571","1,782","6,900","8,605"
3. Dự phòng giảm giá chứng khoán đầu tư,-427,-414,-433,-456,-384
"VIII. Góp vốn, đầu tư dài hạn","4,119","3,950","4,322","4,417","4,475"
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","3,393","3,300","3,693","3,794","3,857"
3. Đầu tư dài hạn khác,975,"1,001",996,996,997
4. Dự phòng giảm giá đầu tư dài hạn,-249,-351,-368,-374,-379
IX. Tài sản cố định,"3,479","4,233","4,121","4,090","3,941"
1. Tài sản cố định hữu hình,"1,390","1,763","1,693","1,688","1,554"
a. Nguyên giá TSCĐ,"3,427","3,885","3,892","3,999","3,579"
b. Hao mòn TSCĐ,"-2,038","-2,122","-2,199","-2,311","-2,025"
2. Tài sản cố định thuê tài chính,325,296,269,244,223
a. Nguyên giá TSCĐ,681,634,634,585,513
b. Hao mòn TSCĐ,-357,-338,-365,-341,-290
3. Tài sản cố định vô hình,"1,764","2,173","2,160","2,157","2,164"
a. Nguyên giá TSCĐ,"2,112","2,538","2,538","2,549","2,563"
