BID,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","5,688","6,669","5,953","6,589","6,637"
II. Tiền gửi tại NHNN,"13,507","25,471","20,870","21,705","10,485"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","42,726","49,052","65,374","67,189","59,857"
"1. Tiền, vàng gửi tại các TCTD khác","28,797","39,798","49,835","47,671","44,461"
2. Cho vay các TCTD khác,"13,989","9,305","15,595","19,575","15,453"
3. Dự phòng rủi ro cho vay các TCTD khác,-59,-52,-56,-57,-56
IV. Chứng khoán kinh doanh,"12,475","3,524","8,128","8,872","8,791"
1. Chứng khoán kinh doanh,"12,511","3,563","8,181","8,903","8,817"
2. Dự phòng giảm giá chứng khoán kinh doanh,-36,-39,-52,-31,-26
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,82,13,0,0,55
VI. Cho vay khách hàng,"457,575","509,167","541,669","591,091","614,995"
1. Cho vay và cho thuê tài chính khách hàng,"465,175","518,253","550,302","598,457","623,741"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-7,600","-9,086","-8,634","-7,365","-8,746"
VII. Hoạt động mua nợ,0,0,0,0,0
1. Mua nợ,0,0,0,0,0
2. Dự phòng rủi ro hoạt động mua nợ,0,0,0,0,0
VII. Chứng khoán đầu tư,"95,914","98,711","109,991","121,405","123,415"
1. Chứng khoán đầu tư sẵn sàng để bán,"76,405","70,920","75,755","87,437","87,202"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"21,211","30,242","36,642","36,861","39,276"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,702","-2,451","-2,406","-2,893","-3,063"
"VIII. Góp vốn, đầu tư dài hạn","4,601","5,029","5,333","5,251","4,472"
