BID,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","10,508","9,808","10,274","12,639","14,117"
II. Tiền gửi tại NHNN,"50,185","32,964","15,352","42,192","135,255"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","104,113","112,271","141,853","130,026","54,290"
"1. Tiền, vàng gửi tại các TCTD khác","81,793","86,902","116,916","107,992","43,719"
2. Cho vay các TCTD khác,"22,430","25,480","25,049","22,143","10,718"
3. Dự phòng rủi ro cho vay các TCTD khác,-110,-112,-111,-110,-146
IV. Chứng khoán kinh doanh,674,"4,437","1,370","2,096","6,346"
1. Chứng khoán kinh doanh,790,"4,534","1,454","2,139","6,380"
2. Dự phòng giảm giá chứng khoán kinh doanh,-117,-98,-84,-43,-34
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,80,130,95,100,92
VI. Cho vay khách hàng,"976,334","1,011,891","1,049,717","1,055,970","1,102,494"
1. Cho vay và cho thuê tài chính khách hàng,"988,739","1,024,435","1,065,030","1,073,511","1,116,925"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-12,405","-12,544","-15,313","-17,540","-14,431"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"133,143","132,222","140,931","142,426","138,122"
1. Chứng khoán đầu tư sẵn sàng để bán,"111,419","111,940","122,326","125,037","121,819"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"29,848","28,530","26,973","24,557","23,262"
3. Dự phòng giảm giá chứng khoán đầu tư,"-8,124","-8,248","-8,368","-7,168","-6,959"
"VIII. Góp vốn, đầu tư dài hạn","2,614","2,657","2,620","2,682","2,745"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","2,523","2,565","2,526","2,589","2,629"
3. Đầu tư dài hạn khác,213,213,215,215,215
4. Dự phòng giảm giá đầu tư dài hạn,-123,-121,-121,-121,-98
IX. Tài sản cố định,"10,667","10,578","10,392","10,224","10,605"
