BID,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","9,097","11,822","10,401","12,294","10,770"
II. Tiền gửi tại NHNN,"26,783","28,062","40,336","49,435","91,673"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","121,290","107,923","116,003","85,349","85,087"
"1. Tiền, vàng gửi tại các TCTD khác","91,779","83,464","96,756","62,192","74,269"
2. Cho vay các TCTD khác,"29,659","24,604","19,391","23,295","10,957"
3. Dự phòng rủi ro cho vay các TCTD khác,-147,-145,-144,-139,-140
IV. Chứng khoán kinh doanh,"5,721","4,971","5,682","10,069","3,574"
1. Chứng khoán kinh doanh,"5,815","4,986","5,688","10,082","3,587"
2. Dự phòng giảm giá chứng khoán kinh doanh,-94,-16,-7,-13,-13
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,210,208,222,168,221
VI. Cho vay khách hàng,"1,088,942","1,121,003","1,125,740","1,195,433","1,210,123"
1. Cho vay và cho thuê tài chính khách hàng,"1,105,559","1,139,227","1,145,359","1,214,296","1,233,546"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-16,616","-18,224","-19,619","-18,863","-23,422"
VII. Hoạt động mua nợ,0,,,,
1. Mua nợ,0,,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,,,,
VII. Chứng khoán đầu tư,"152,666","133,058","128,835","125,215","118,019"
1. Chứng khoán đầu tư sẵn sàng để bán,"139,281","116,708","112,696","112,192","104,553"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"14,070","17,058","16,759","13,603","14,379"
3. Dự phòng giảm giá chứng khoán đầu tư,-685,-708,-620,-580,-913
"VIII. Góp vốn, đầu tư dài hạn","2,834","2,701","2,707","2,764","2,843"
