MBB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,136","3,744","2,965","3,169","3,412"
II. Tiền gửi tại NHNN,"12,383","39,655","19,077","27,504","21,634"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","37,194","32,937","32,264","21,618","36,981"
"1. Tiền, vàng gửi tại các TCTD khác","37,194","32,937","32,264","21,618","36,981"
2. Cho vay các TCTD khác,,,,,
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"5,904","4,106","3,911","22,892","35,880"
1. Chứng khoán kinh doanh,"5,907","4,107","3,912","22,892","35,881"
2. Dự phòng giảm giá chứng khoán kinh doanh,-3,-2,-1,0,-1
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,217,70,183,,
VI. Cho vay khách hàng,"417,061","448,599","469,699","506,395","523,969"
1. Cho vay và cho thuê tài chính khách hàng,"426,233","460,574","481,386","518,071","536,302"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-9,171","-11,976","-11,687","-11,676","-12,333"
VII. Hoạt động mua nợ,"1,007","2,178","2,078","1,895",
1. Mua nợ,4,"1,020","2,205","2,125","1,948"
2. Dự phòng rủi ro hoạt động mua nợ,-4,-13,-27,-47,-53
VII. Chứng khoán đầu tư,"143,280","159,580","192,735","183,949","154,951"
1. Chứng khoán đầu tư sẵn sàng để bán,"138,233","154,506","187,974","179,644","150,162"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"5,499","5,475","5,242","4,799","5,208"
3. Dự phòng giảm giá chứng khoán đầu tư,-452,-402,-481,-494,-419
"VIII. Góp vốn, đầu tư dài hạn",552,625,699,676,661
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,668,769,814,814,804
4. Dự phòng giảm giá đầu tư dài hạn,-116,-143,-114,-137,-143
IX. Tài sản cố định,"4,412","5,074","5,005","4,928","4,827"
1. Tài sản cố định hữu hình,"3,009","3,458","3,395","3,284","3,235"
a. Nguyên giá TSCĐ,"6,398","7,111","7,259","7,386","7,594"
b. Hao mòn TSCĐ,"-3,390","-3,653","-3,864","-4,102","-4,359"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"1,404","1,616","1,610","1,645","1,592"
a. Nguyên giá TSCĐ,"3,222","3,565","3,700","3,902","3,968"
b. Hao mòn TSCĐ,"-1,818","-1,949","-2,090","-2,257","-2,376"
