MBB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"6,831","3,619","4,049","4,097","3,876"
2. Chi phí lãi và các chi phí tương tự,"4,323","2,314","2,484","2,494","2,291"
I. Thu nhập lãi thuần,"2,508","1,305","1,565","1,603","1,585"
3. Thu nhập từ hoạt động dịch vụ,367,176,630,208,232
4. Chi phí hoạt động dịch vụ,39,23,460,25,21
II. Lãi/lỗ thuần từ hoạt động dịch vụ,328,152,170,182,210
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-164,-3,54,8,12
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-586,-505,0,-48,-48
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,-265,-24,0,0
5. Thu nhập từ hoạt động khác,567,826,173,6,88
6. Chi phí hoạt động khác,121,-774,160,0,0
VI. Lãi/lỗ thuần từ hoạt động khác,446,"1,600",13,6,88
"VII. Thu nhập từ góp vốn, mua cổ phần",13,29,11,21,29
VIII. Chi phí hoạt động,925,"1,119",835,499,608
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,619","1,194",953,"1,273","1,269"
X. Chi phí dự phòng rủi ro tín dụng,484,507,92,370,309
XI. Tổng lợi nhuận trước thuế (IX-X),"1,135",688,862,904,960
7. Chi phí thuế TNDN hiện hành,367,171,169,220,235
8. Chi phí thuế TNDN hoãn lại,,0,0,0,0
XII. Chi phí thuế TNDN,367,171,169,220,235
XIII. Lợi nhuận sau thuế (XI-XII),768,516,693,683,725
XIV. Lợi ích của cổ đông thiểu số,-132,-21,-52,2,8
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),901,537,745,681,717
Lãi cơ bản trên cổ phiếu (BCTC),,0,0,0,0
