MBB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"6,669","7,179","7,716","8,048","8,252"
2. Chi phí lãi và các chi phí tương tự,"2,516","3,045","3,321","3,467","3,364"
I. Thu nhập lãi thuần,"4,154","4,135","4,395","4,582","4,889"
3. Thu nhập từ hoạt động dịch vụ,"2,374","1,232","1,668","1,501","2,019"
4. Chi phí hoạt động dịch vụ,"1,499",473,614,"1,002","1,146"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,876,759,"1,055",499,873
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,143,120,164,188,176
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,19,,,,11
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,181,81,162,204
5. Thu nhập từ hoạt động khác,643,324,496,987,722
6. Chi phí hoạt động khác,205,65,75,88,201
VI. Lãi/lỗ thuần từ hoạt động khác,438,259,421,900,521
"VII. Thu nhập từ góp vốn, mua cổ phần",87,1,43,15,20
VIII. Chi phí hoạt động,"3,216","2,066","2,307","2,292","3,059"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,500","3,389","3,851","4,053","3,634"
X. Chi phí dự phòng rủi ro tín dụng,747,964,"1,400","1,312","1,214"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,752","2,424","2,451","2,741","2,420"
7. Chi phí thuế TNDN hiện hành,351,469,470,530,496
8. Chi phí thuế TNDN hoãn lại,13,22,-17,,-2
XII. Chi phí thuế TNDN,364,492,453,530,493
XIII. Lợi nhuận sau thuế (XI-XII),"1,389","1,933","1,998","2,211","1,927"
XIV. Lợi ích của cổ đông thiểu số,,,154,,57
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,389","1,933","1,845","2,211","1,870"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
