MBB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,589","3,397","3,130","3,421","3,472"
2. Chi phí lãi và các chi phí tương tự,"1,588","1,513","1,539","1,579","1,704"
I. Thu nhập lãi thuần,"2,001","1,885","1,591","1,842","1,768"
3. Thu nhập từ hoạt động dịch vụ,184,189,294,861,179
4. Chi phí hoạt động dịch vụ,73,61,92,759,61
II. Lãi/lỗ thuần từ hoạt động dịch vụ,111,128,202,102,118
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,33,8,59,59,25
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,21,,72,29,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,-3,,,11
5. Thu nhập từ hoạt động khác,108,220,,109,117
6. Chi phí hoạt động khác,,13,,,
VI. Lãi/lỗ thuần từ hoạt động khác,108,207,100,109,117
"VII. Thu nhập từ góp vốn, mua cổ phần",7,52,17,16,4
VIII. Chi phí hoạt động,721,822,804,"1,103",922
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,560","1,455","1,237","1,055","1,122"
X. Chi phí dự phòng rủi ro tín dụng,763,425,512,402,239
XI. Tổng lợi nhuận trước thuế (IX-X),797,"1,031",725,652,882
7. Chi phí thuế TNDN hiện hành,177,211,154,165,176
8. Chi phí thuế TNDN hoãn lại,,1,,,
XII. Chi phí thuế TNDN,177,212,154,165,176
XIII. Lợi nhuận sau thuế (XI-XII),620,818,571,487,707
XIV. Lợi ích của cổ đông thiểu số,0,9,-32,39,2
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),620,809,603,448,705
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
