MBB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,737","2,090","2,321","2,320","2,344"
II. Tiền gửi tại NHNN,"10,548","7,597","3,427","7,118","14,347"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","45,062","43,249","52,652","47,469","39,691"
"1. Tiền, vàng gửi tại các TCTD khác","35,363","34,501","44,384","37,841","29,339"
2. Cho vay các TCTD khác,"9,894","8,944","8,463","9,824","10,549"
3. Dự phòng rủi ro cho vay các TCTD khác,-196,-196,-196,-196,-196
IV. Chứng khoán kinh doanh,578,675,"1,182","1,616","1,168"
1. Chứng khoán kinh doanh,684,754,"1,260","1,694","1,197"
2. Dự phòng giảm giá chứng khoán kinh doanh,-106,-78,-78,-78,-29
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,36,1,0,78,15
VI. Cho vay khách hàng,"211,475","226,051","235,996","236,407","247,130"
1. Cho vay và cho thuê tài chính khách hàng,"214,686","229,168","238,925","240,211","250,331"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-3,211","-3,118","-2,929","-3,804","-3,201"
VII. Hoạt động mua nợ,0,0,0,,
1. Mua nợ,0,0,0,,
2. Dự phòng rủi ro hoạt động mua nợ,0,0,0,,
VII. Chứng khoán đầu tư,"73,834","80,346","84,881","78,872","85,629"
1. Chứng khoán đầu tư sẵn sàng để bán,"70,688","75,845","81,799","75,891","82,724"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"3,522","4,763","3,388","3,289","3,197"
3. Dự phòng giảm giá chứng khoán đầu tư,-377,-262,-307,-309,-292
"VIII. Góp vốn, đầu tư dài hạn",497,886,883,886,887
1. Đầu tư vào công ty con,0,0,0,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,0,,
3. Đầu tư dài hạn khác,583,"1,039","1,033","1,037","1,037"
4. Dự phòng giảm giá đầu tư dài hạn,-85,-153,-150,-151,-150
IX. Tài sản cố định,"2,699","2,661","2,690","2,715","2,798"
