MBB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,741","4,091","4,248","4,455","4,804"
2. Chi phí lãi và các chi phí tương tự,"1,884","2,020","1,966","2,049","2,072"
I. Thu nhập lãi thuần,"1,857","2,071","2,283","2,407","2,732"
3. Thu nhập từ hoạt động dịch vụ,237,281,600,616,955
4. Chi phí hoạt động dịch vụ,76,101,377,383,527
II. Lãi/lỗ thuần từ hoạt động dịch vụ,161,180,223,233,428
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,2,14,72,30,24
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-53,145,,82,40
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,-2,,
5. Thu nhập từ hoạt động khác,162,136,462,144,227
6. Chi phí hoạt động khác,,,,,
VI. Lãi/lỗ thuần từ hoạt động khác,162,136,462,144,227
"VII. Thu nhập từ góp vốn, mua cổ phần",80,2,16,5,27
VIII. Chi phí hoạt động,887,"1,076","1,290","1,211","1,324"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,323","1,472","1,764","1,691","2,155"
X. Chi phí dự phòng rủi ro tín dụng,343,546,902,579,743
XI. Tổng lợi nhuận trước thuế (IX-X),980,926,862,"1,112","1,412"
7. Chi phí thuế TNDN hiện hành,178,191,222,222,304
8. Chi phí thuế TNDN hoãn lại,,0,,,0
XII. Chi phí thuế TNDN,178,192,222,222,304
XIII. Lợi nhuận sau thuế (XI-XII),802,735,640,890,"1,108"
XIV. Lợi ích của cổ đông thiểu số,2,22,-55,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),799,712,695,890,"1,108"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
