MBB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"16,997","16,260","16,953","17,397","18,452"
2. Chi phí lãi và các chi phí tương tự,"7,833","7,198","6,422","6,980","7,310"
I. Thu nhập lãi thuần,"9,163","9,062","10,531","10,417","11,142"
3. Thu nhập từ hoạt động dịch vụ,"3,759","3,267","3,750","3,436","4,149"
4. Chi phí hoạt động dịch vụ,"2,303","2,322","2,395","2,548","2,968"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,456",945,"1,354",888,"1,181"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,290,461,393,661,485
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,196,965,447,226,118
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-124,217,346,-172,"2,412"
5. Thu nhập từ hoạt động khác,761,364,"1,035",678,"1,203"
6. Chi phí hoạt động khác,,,,,
VI. Lãi/lỗ thuần từ hoạt động khác,761,364,"1,035",678,"1,203"
"VII. Thu nhập từ góp vốn, mua cổ phần",8,2,22,7,22
VIII. Chi phí hoạt động,"3,876","3,514","4,491","3,756","5,247"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"7,874","8,502","9,639","8,948","11,317"
X. Chi phí dự phòng rủi ro tín dụng,"1,587","2,707","2,006","1,640","3,224"
XI. Tổng lợi nhuận trước thuế (IX-X),"6,287","5,795","7,633","7,308","8,093"
7. Chi phí thuế TNDN hiện hành,"1,257","1,172","1,536","1,465","1,715"
8. Chi phí thuế TNDN hoãn lại,-14,-1,-5,-1,-4
XII. Chi phí thuế TNDN,"1,242","1,171","1,531","1,464","1,711"
XIII. Lợi nhuận sau thuế (XI-XII),"5,045","4,624","6,102","5,843","6,382"
XIV. Lợi ích của cổ đông thiểu số,59,92,75,53,97
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"4,986","4,533","6,027","5,790","6,284"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
