MBB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"13,038","15,304","17,383","17,441","17,322"
2. Chi phí lãi và các chi phí tương tự,"4,000","5,674","7,156","7,960","7,511"
I. Thu nhập lãi thuần,"9,039","9,630","10,227","9,481","9,812"
3. Thu nhập từ hoạt động dịch vụ,"3,331","3,584","2,849","3,290","3,240"
4. Chi phí hoạt động dịch vụ,"2,547","2,360","2,159","2,429","2,161"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,784,"1,224",690,861,"1,079"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,402,363,371,325,224
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,1,6,37,122,186
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,169,72,135,109,181
5. Thu nhập từ hoạt động khác,585,451,467,629,571
6. Chi phí hoạt động khác,,,,,
VI. Lãi/lỗ thuần từ hoạt động khác,585,451,467,629,571
"VII. Thu nhập từ góp vốn, mua cổ phần",5,5,3,33,13
VIII. Chi phí hoạt động,"3,729","3,628","3,568","4,135","3,334"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"7,257","8,123","8,362","7,426","8,731"
X. Chi phí dự phòng rủi ro tín dụng,962,"3,585","1,850","1,203","1,447"
XI. Tổng lợi nhuận trước thuế (IX-X),"6,296","4,538","6,512","6,223","7,284"
7. Chi phí thuế TNDN hiện hành,"1,259",934,"1,306","1,240","1,467"
8. Chi phí thuế TNDN hoãn lại,2,4,0,0,-4
XII. Chi phí thuế TNDN,"1,261",938,"1,307","1,240","1,463"
XIII. Lợi nhuận sau thuế (XI-XII),"5,035","3,600","5,206","4,982","5,821"
XIV. Lợi ích của cổ đông thiểu số,156,166,182,89,47
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"4,879","3,434","5,024","4,893","5,773"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
